date,Value,District,Keyword
2017-06,75,Haifa District,שלום
2017-07,59,Haifa District,שלום
2017-08,64,Haifa District,שלום
2017-09,72,Haifa District,שלום
2017-10,70,Haifa District,שלום
2017-11,67,Haifa District,שלום
2017-12,70,Haifa District,שלום
2018-01,63,Haifa District,שלום
2018-02,70,Haifa District,שלום
2018-03,66,Haifa District,שלום
2018-04,68,Haifa District,שלום
2018-05,62,Haifa District,שלום
2018-06,68,Haifa District,שלום
2018-07,66,Haifa District,שלום
2018-08,80,Haifa District,שלום
2018-09,69,Haifa District,שלום
2018-10,68,Haifa District,שלום
2018-11,73,Haifa District,שלום
2018-12,67,Haifa District,שלום
2019-01,74,Haifa District,שלום
2019-02,71,Haifa District,שלום
2019-03,67,Haifa District,שלום
2019-04,62,Haifa District,שלום
2019-05,67,Haifa District,שלום
2019-06,68,Haifa District,שלום
2019-07,68,Haifa District,שלום
2019-08,69,Haifa District,שלום
2019-09,73,Haifa District,שלום
2019-10,63,Haifa District,שלום
2019-11,76,Haifa District,שלום
2019-12,62,Haifa District,שלום
2020-01,70,Haifa District,שלום
2020-02,69,Haifa District,שלום
2020-03,60,Haifa District,שלום
2020-04,69,Haifa District,שלום
2020-05,63,Haifa District,שלום
2020-06,70,Haifa District,שלום
2020-07,62,Haifa District,שלום
2020-08,100,Haifa District,שלום
2020-09,75,Haifa District,שלום
2020-10,73,Haifa District,שלום
2020-11,62,Haifa District,שלום
2020-12,64,Haifa District,שלום
2021-01,57,Haifa District,שלום
2021-02,61,Haifa District,שלום
2021-03,96,Haifa District,שלום
2021-04,70,Haifa District,שלום
2021-05,77,Haifa District,שלום
2021-06,61,Haifa District,שלום
2021-07,75,Haifa District,שלום
2021-08,65,Haifa District,שלום
2021-09,70,Haifa District,שלום
2021-10,67,Haifa District,שלום
2021-11,61,Haifa District,שלום
2021-12,54,Haifa District,שלום
2022-01,67,Haifa District,שלום
2022-02,70,Haifa District,שלום
2022-03,70,Haifa District,שלום
2022-04,61,Haifa District,שלום
2022-05,68,Haifa District,שלום
2022-06,67,Haifa District,שלום
2022-07,63,Haifa District,שלום
2022-08,78,Haifa District,שלום
2022-09,67,Haifa District,שלום
2022-10,72,Haifa District,שלום
2022-11,72,Haifa District,שלום
2022-12,55,Haifa District,שלום
2014-01,59,Jerusalem District,שלום
2014-02,52,Jerusalem District,שלום
2014-03,52,Jerusalem District,שלום
2014-04,50,Jerusalem District,שלום
2014-05,58,Jerusalem District,שלום
2014-06,47,Jerusalem District,שלום
2014-07,63,Jerusalem District,שלום
2014-08,56,Jerusalem District,שלום
2014-09,54,Jerusalem District,שלום
2014-10,64,Jerusalem District,שלום
2014-11,41,Jerusalem District,שלום
2014-12,47,Jerusalem District,שלום
2015-01,58,Jerusalem District,שלום
2015-02,52,Jerusalem District,שלום
2015-03,58,Jerusalem District,שלום
2015-04,57,Jerusalem District,שלום
2015-05,62,Jerusalem District,שלום
2015-06,48,Jerusalem District,שלום
2015-07,54,Jerusalem District,שלום
2015-08,54,Jerusalem District,שלום
2015-09,56,Jerusalem District,שלום
2015-10,61,Jerusalem District,שלום
2015-11,57,Jerusalem District,שלום
2015-12,66,Jerusalem District,שלום
2016-01,52,Jerusalem District,שלום
2016-02,58,Jerusalem District,שלום
2016-03,54,Jerusalem District,שלום
2016-04,55,Jerusalem District,שלום
2016-05,64,Jerusalem District,שלום
2016-06,57,Jerusalem District,שלום
2016-07,54,Jerusalem District,שלום
2016-08,54,Jerusalem District,שלום
2016-09,60,Jerusalem District,שלום
2016-10,60,Jerusalem District,שלום
2016-11,55,Jerusalem District,שלום
2016-12,52,Jerusalem District,שלום
2017-01,48,Jerusalem District,שלום
2017-02,50,Jerusalem District,שלום
2017-03,53,Jerusalem District,שלום
2017-04,49,Jerusalem District,שלום
2017-05,53,Jerusalem District,שלום
2017-06,53,Jerusalem District,שלום
2017-07,53,Jerusalem District,שלום
2017-08,54,Jerusalem District,שלום
2017-09,59,Jerusalem District,שלום
2017-10,54,Jerusalem District,שלום
2017-11,53,Jerusalem District,שלום
2017-12,52,Jerusalem District,שלום
2018-01,52,Jerusalem District,שלום
2018-02,52,Jerusalem District,שלום
2018-03,46,Jerusalem District,שלום
2018-04,54,Jerusalem District,שלום
2018-05,48,Jerusalem District,שלום
2018-06,55,Jerusalem District,שלום
2018-07,52,Jerusalem District,שלום
2018-08,56,Jerusalem District,שלום
2018-09,60,Jerusalem District,שלום
2018-10,53,Jerusalem District,שלום
2018-11,55,Jerusalem District,שלום
2018-12,55,Jerusalem District,שלום
2019-01,56,Jerusalem District,שלום
2019-02,55,Jerusalem District,שלום
2019-03,53,Jerusalem District,שלום
2019-04,46,Jerusalem District,שלום
2019-05,55,Jerusalem District,שלום
2019-06,55,Jerusalem District,שלום
2019-07,53,Jerusalem District,שלום
2019-08,54,Jerusalem District,שלום
2019-09,59,Jerusalem District,שלום
2019-10,52,Jerusalem District,שלום
2019-11,58,Jerusalem District,שלום
2019-12,50,Jerusalem District,שלום
2020-01,48,Jerusalem District,שלום
2020-02,53,Jerusalem District,שלום
2020-03,46,Jerusalem District,שלום
2020-04,53,Jerusalem District,שלום
2020-05,50,Jerusalem District,שלום
2020-06,54,Jerusalem District,שלום
2020-07,56,Jerusalem District,שלום
2020-08,70,Jerusalem District,שלום
2020-09,79,Jerusalem District,שלום
2020-10,58,Jerusalem District,שלום
2020-11,50,Jerusalem District,שלום
2020-12,57,Jerusalem District,שלום
2021-01,52,Jerusalem District,שלום
2021-02,52,Jerusalem District,שלום
2021-03,70,Jerusalem District,שלום
2021-04,56,Jerusalem District,שלום
2021-05,58,Jerusalem District,שלום
2021-06,52,Jerusalem District,שלום
2021-07,51,Jerusalem District,שלום
2021-08,54,Jerusalem District,שלום
2021-09,57,Jerusalem District,שלום
2021-10,46,Jerusalem District,שלום
2021-11,49,Jerusalem District,שלום
2021-12,50,Jerusalem District,שלום
2022-01,52,Jerusalem District,שלום
2022-02,60,Jerusalem District,שלום
2022-03,56,Jerusalem District,שלום
2022-04,53,Jerusalem District,שלום
2022-05,57,Jerusalem District,שלום
2022-06,54,Jerusalem District,שלום
2022-07,50,Jerusalem District,שלום
2022-08,100,Jerusalem District,שלום
2022-09,52,Jerusalem District,שלום
2022-10,51,Jerusalem District,שלום
2022-11,49,Jerusalem District,שלום
2022-12,46,Jerusalem District,שלום
2014-01,86,North District,שלום
2014-02,88,North District,שלום
2014-03,87,North District,שלום
2014-04,73,North District,שלום
2014-05,76,North District,שלום
2014-06,54,North District,שלום
2014-07,86,North District,שלום
2014-08,62,North District,שלום
2014-09,83,North District,שלום
2014-10,63,North District,שלום
2014-11,86,North District,שלום
2014-12,76,North District,שלום
2015-01,85,North District,שלום
2015-02,65,North District,שלום
2015-03,83,North District,שלום
2015-04,81,North District,שלום
2015-05,97,North District,שלום
2015-06,92,North District,שלום
2015-07,63,North District,שלום
2015-08,76,North District,שלום
2015-09,78,North District,שלום
2015-10,100,North District,שלום
2015-11,74,North District,שלום
2015-12,75,North District,שלום
2016-01,57,North District,שלום
2016-02,69,North District,שלום
2016-03,66,North District,שלום
2016-04,57,North District,שלום
2016-05,64,North District,שלום
2016-06,65,North District,שלום
2016-07,62,North District,שלום
2016-08,64,North District,שלום
2016-09,80,North District,שלום
2016-10,69,North District,שלום
2016-11,68,North District,שלום
2016-12,62,North District,שלום
2017-01,59,North District,שלום
2017-02,61,North District,שלום
2017-03,59,North District,שלום
2017-04,58,North District,שלום
2017-05,70,North District,שלום
2017-06,66,North District,שלום
2017-07,58,North District,שלום
2017-08,67,North District,שלום
2017-09,69,North District,שלום
2017-10,62,North District,שלום
2017-11,63,North District,שלום
2017-12,59,North District,שלום
2018-01,53,North District,שלום
2018-02,62,North District,שלום
2018-03,56,North District,שלום
2018-04,61,North District,שלום
2018-05,56,North District,שלום
2018-06,58,North District,שלום
2018-07,60,North District,שלום
2018-08,60,North District,שלום
2018-09,62,North District,שלום
2018-10,69,North District,שלום
2018-11,66,North District,שלום
2018-12,58,North District,שלום
2019-01,52,North District,שלום
2019-02,66,North District,שלום
2019-03,65,North District,שלום
2019-04,61,North District,שלום
2019-05,61,North District,שלום
2019-06,60,North District,שלום
2019-07,62,North District,שלום
2019-08,62,North District,שלום
2019-09,64,North District,שלום
2019-10,63,North District,שלום
2019-11,62,North District,שלום
2019-12,54,North District,שלום
2020-01,58,North District,שלום
2020-02,63,North District,שלום
2020-03,61,North District,שלום
2020-04,63,North District,שלום
2020-05,64,North District,שלום
2020-06,52,North District,שלום
2020-07,59,North District,שלום
2020-08,77,North District,שלום
2020-09,79,North District,שלום
2020-10,72,North District,שלום
2020-11,60,North District,שלום
2020-12,59,North District,שלום
2021-01,62,North District,שלום
2021-02,61,North District,שלום
2021-03,80,North District,שלום
2021-04,61,North District,שלום
2021-05,76,North District,שלום
2021-06,62,North District,שלום
2021-07,60,North District,שלום
2021-08,62,North District,שלום
2021-09,52,North District,שלום
2021-10,66,North District,שלום
2021-11,57,North District,שלום
2021-12,57,North District,שלום
2022-01,62,North District,שלום
2022-02,65,North District,שלום
2022-03,58,North District,שלום
2022-04,53,North District,שלום
2022-05,60,North District,שלום
2022-06,56,North District,שלום
2022-07,62,North District,שלום
2022-08,84,North District,שלום
2022-09,62,North District,שלום
2022-10,59,North District,שלום
2022-11,54,North District,שלום
2022-12,46,North District,שלום
2014-01,75,South District,שלום
2014-02,69,South District,שלום
2014-03,70,South District,שלום
2014-04,62,South District,שלום
2014-05,77,South District,שלום
2014-06,58,South District,שלום
2014-07,72,South District,שלום
2014-08,66,South District,שלום
2014-09,54,South District,שלום
2014-10,79,South District,שלום
2014-11,68,South District,שלום
2014-12,61,South District,שלום
2015-01,84,South District,שלום
2015-02,67,South District,שלום
2015-03,75,South District,שלום
2015-04,56,South District,שלום
2015-05,68,South District,שלום
2015-06,75,South District,שלום
2015-07,77,South District,שלום
2015-08,57,South District,שלום
2015-09,90,South District,שלום
2015-10,83,South District,שלום
2015-11,68,South District,שלום
2015-12,78,South District,שלום
2016-01,72,South District,שלום
2016-02,74,South District,שלום
2016-03,71,South District,שלום
2016-04,66,South District,שלום
2016-05,71,South District,שלום
2016-06,73,South District,שלום
2016-07,77,South District,שלום
2016-08,63,South District,שלום
2016-09,77,South District,שלום
2016-10,67,South District,שלום
2016-11,72,South District,שלום
2016-12,69,South District,שלום
2017-01,71,South District,שלום
2017-02,66,South District,שלום
2017-03,70,South District,שלום
2017-04,61,South District,שלום
2017-05,73,South District,שלום
2017-06,70,South District,שלום
2017-07,69,South District,שלום
2017-08,70,South District,שלום
2017-09,77,South District,שלום
2017-10,74,South District,שלום
2017-11,65,South District,שלום
2017-12,61,South District,שלום
2018-01,62,South District,שלום
2018-02,63,South District,שלום
2018-03,60,South District,שלום
2018-04,61,South District,שלום
2018-05,64,South District,שלום
2018-06,64,South District,שלום
2018-07,60,South District,שלום
2018-08,67,South District,שלום
2018-09,57,South District,שלום
2018-10,64,South District,שלום
2018-11,70,South District,שלום
2018-12,70,South District,שלום
2019-01,70,South District,שלום
2019-02,64,South District,שלום
2019-03,69,South District,שלום
2019-04,58,South District,שלום
2019-05,63,South District,שלום
2019-06,70,South District,שלום
2019-07,67,South District,שלום
2019-08,68,South District,שלום
2019-09,65,South District,שלום
2019-10,67,South District,שלום
2019-11,76,South District,שלום
2019-12,58,South District,שלום
2020-01,68,South District,שלום
2020-02,67,South District,שלום
2020-03,72,South District,שלום
2020-04,77,South District,שלום
2020-05,66,South District,שלום
2020-06,59,South District,שלום
2020-07,65,South District,שלום
2020-08,82,South District,שלום
2020-09,100,South District,שלום
2020-10,89,South District,שלום
2020-11,66,South District,שלום
2020-12,67,South District,שלום
2021-01,83,South District,שלום
2021-02,74,South District,שלום
2021-03,92,South District,שלום
2021-04,72,South District,שלום
2021-05,80,South District,שלום
2021-06,65,South District,שלום
2021-07,66,South District,שלום
2021-08,73,South District,שלום
2021-09,67,South District,שלום
2021-10,78,South District,שלום
2021-11,62,South District,שלום
2021-12,60,South District,שלום
2022-01,71,South District,שלום
2022-02,83,South District,שלום
2022-03,80,South District,שלום
2022-04,68,South District,שלום
2022-05,74,South District,שלום
2022-06,63,South District,שלום
2022-07,75,South District,שלום
2022-08,91,South District,שלום
2022-09,73,South District,שלום
2022-10,84,South District,שלום
2022-11,75,South District,שלום
2022-12,65,South District,שלום
2014-01,66,Tel Aviv District,שלום
2014-02,66,Tel Aviv District,שלום
2014-03,74,Tel Aviv District,שלום
2014-04,66,Tel Aviv District,שלום
2014-05,72,Tel Aviv District,שלום
2014-06,66,Tel Aviv District,שלום
2014-07,76,Tel Aviv District,שלום
2014-08,66,Tel Aviv District,שלום
2014-09,67,Tel Aviv District,שלום
2014-10,67,Tel Aviv District,שלום
2014-11,64,Tel Aviv District,שלום
2014-12,64,Tel Aviv District,שלום
2015-01,73,Tel Aviv District,שלום
2015-02,64,Tel Aviv District,שלום
2015-03,74,Tel Aviv District,שלום
2015-04,71,Tel Aviv District,שלום
2015-05,71,Tel Aviv District,שלום
2015-06,67,Tel Aviv District,שלום
2015-07,65,Tel Aviv District,שלום
2015-08,69,Tel Aviv District,שלום
2015-09,71,Tel Aviv District,שלום
2015-10,75,Tel Aviv District,שלום
2015-11,66,Tel Aviv District,שלום
2015-12,80,Tel Aviv District,שלום
2016-01,66,Tel Aviv District,שלום
2016-02,74,Tel Aviv District,שלום
2016-03,70,Tel Aviv District,שלום
2016-04,65,Tel Aviv District,שלום
2016-05,74,Tel Aviv District,שלום
2016-06,68,Tel Aviv District,שלום
2016-07,69,Tel Aviv District,שלום
2016-08,65,Tel Aviv District,שלום
2016-09,78,Tel Aviv District,שלום
2016-10,73,Tel Aviv District,שלום
2016-11,70,Tel Aviv District,שלום
2016-12,63,Tel Aviv District,שלום
2017-01,67,Tel Aviv District,שלום
2017-02,64,Tel Aviv District,שלום
2017-03,64,Tel Aviv District,שלום
2017-04,61,Tel Aviv District,שלום
2017-05,66,Tel Aviv District,שלום
2017-06,69,Tel Aviv District,שלום
2017-07,65,Tel Aviv District,שלום
2017-08,70,Tel Aviv District,שלום
2017-09,72,Tel Aviv District,שלום
2017-10,68,Tel Aviv District,שלום
2017-11,72,Tel Aviv District,שלום
2017-12,68,Tel Aviv District,שלום
2018-01,68,Tel Aviv District,שלום
2018-02,69,Tel Aviv District,שלום
2018-03,69,Tel Aviv District,שלום
2018-04,74,Tel Aviv District,שלום
2018-05,71,Tel Aviv District,שלום
2018-06,77,Tel Aviv District,שלום
2018-07,69,Tel Aviv District,שלום
2018-08,70,Tel Aviv District,שלום
2018-09,72,Tel Aviv District,שלום
2018-10,73,Tel Aviv District,שלום
2018-11,76,Tel Aviv District,שלום
2018-12,72,Tel Aviv District,שלום
2019-01,76,Tel Aviv District,שלום
2019-02,68,Tel Aviv District,שלום
2019-03,76,Tel Aviv District,שלום
2019-04,67,Tel Aviv District,שלום
2019-05,76,Tel Aviv District,שלום
2019-06,75,Tel Aviv District,שלום
2019-07,79,Tel Aviv District,שלום
2019-08,72,Tel Aviv District,שלום
2019-09,74,Tel Aviv District,שלום
2019-10,68,Tel Aviv District,שלום
2019-11,78,Tel Aviv District,שלום
2019-12,73,Tel Aviv District,שלום
2020-01,73,Tel Aviv District,שלום
2020-02,75,Tel Aviv District,שלום
2020-03,69,Tel Aviv District,שלום
2020-04,76,Tel Aviv District,שלום
2020-05,69,Tel Aviv District,שלום
2020-06,73,Tel Aviv District,שלום
2020-07,76,Tel Aviv District,שלום
2020-08,93,Tel Aviv District,שלום
2020-09,92,Tel Aviv District,שלום
2020-10,85,Tel Aviv District,שלום
2020-11,74,Tel Aviv District,שלום
2020-12,72,Tel Aviv District,שלום
2021-01,73,Tel Aviv District,שלום
2021-02,72,Tel Aviv District,שלום
2021-03,100,Tel Aviv District,שלום
2021-04,79,Tel Aviv District,שלום
2021-05,92,Tel Aviv District,שלום
2021-06,77,Tel Aviv District,שלום
2021-07,79,Tel Aviv District,שלום
2021-08,82,Tel Aviv District,שלום
2021-09,76,Tel Aviv District,שלום
2021-10,85,Tel Aviv District,שלום
2021-11,72,Tel Aviv District,שלום
2021-12,71,Tel Aviv District,שלום
2022-01,83,Tel Aviv District,שלום
2022-02,91,Tel Aviv District,שלום
2022-03,88,Tel Aviv District,שלום
2022-04,80,Tel Aviv District,שלום
2022-05,80,Tel Aviv District,שלום
2022-06,80,Tel Aviv District,שלום
2022-07,81,Tel Aviv District,שלום
2022-08,98,Tel Aviv District,שלום
2022-09,82,Tel Aviv District,שלום
2022-10,80,Tel Aviv District,שלום
2022-11,75,Tel Aviv District,שלום
2022-12,67,Tel Aviv District,שלום
2014-01,32,Center District,מלחמה
2014-02,44,Center District,מלחמה
2014-03,51,Center District,מלחמה
2014-04,54,Center District,מלחמה
2014-05,50,Center District,מלחמה
2014-06,48,Center District,מלחמה
2014-07,100,Center District,מלחמה
2014-08,75,Center District,מלחמה
2014-09,34,Center District,מלחמה
2014-10,35,Center District,מלחמה
2014-11,42,Center District,מלחמה
2014-12,30,Center District,מלחמה
2015-01,36,Center District,מלחמה
2015-02,41,Center District,מלחמה
2015-03,42,Center District,מלחמה
2015-04,40,Center District,מלחמה
2015-05,33,Center District,מלחמה
2015-06,24,Center District,מלחמה
2015-07,32,Center District,מלחמה
2015-08,27,Center District,מלחמה
2015-09,28,Center District,מלחמה
2015-10,31,Center District,מלחמה
2015-11,22,Center District,מלחמה
2015-12,32,Center District,מלחמה
2016-01,28,Center District,מלחמה
2016-02,32,Center District,מלחמה
2016-03,32,Center District,מלחמה
2016-04,33,Center District,מלחמה
2016-05,38,Center District,מלחמה
2016-06,25,Center District,מלחמה
2016-07,24,Center District,מלחמה
2016-08,49,Center District,מלחמה
2016-09,53,Center District,מלחמה
2016-10,42,Center District,מלחמה
2016-11,28,Center District,מלחמה
2016-12,27,Center District,מלחמה
2017-01,27,Center District,מלחמה
2017-02,22,Center District,מלחמה
2017-03,25,Center District,מלחמה
2017-04,31,Center District,מלחמה
2017-05,23,Center District,מלחמה
2017-06,26,Center District,מלחמה
2017-07,28,Center District,מלחמה
2017-08,22,Center District,מלחמה
2017-09,23,Center District,מלחמה
2017-10,25,Center District,מלחמה
2017-11,22,Center District,מלחמה
2017-12,24,Center District,מלחמה
2018-01,18,Center District,מלחמה
2018-02,23,Center District,מלחמה
2018-03,25,Center District,מלחמה
2018-04,38,Center District,מלחמה
2018-05,34,Center District,מלחמה
2018-06,17,Center District,מלחמה
2018-07,20,Center District,מלחמה
2018-08,18,Center District,מלחמה
2018-09,21,Center District,מלחמה
2018-10,20,Center District,מלחמה
2018-11,27,Center District,מלחמה
2018-12,20,Center District,מלחמה
2019-01,23,Center District,מלחמה
2019-02,21,Center District,מלחמה
2019-03,21,Center District,מלחמה
2019-04,21,Center District,מלחמה
2019-05,45,Center District,מלחמה
2019-06,23,Center District,מלחמה
2019-07,17,Center District,מלחמה
2019-08,18,Center District,מלחמה
2019-09,24,Center District,מלחמה
2019-10,23,Center District,מלחמה
2019-11,30,Center District,מלחמה
2019-12,20,Center District,מלחמה
2020-01,21,Center District,מלחמה
2020-02,19,Center District,מלחמה
2020-03,23,Center District,מלחמה
2020-04,37,Center District,מלחמה
2020-05,27,Center District,מלחמה
2020-06,21,Center District,מלחמה
2020-07,19,Center District,מלחמה
2020-08,16,Center District,מלחמה
2020-09,23,Center District,מלחמה
2020-10,32,Center District,מלחמה
2020-11,26,Center District,מלחמה
2020-12,23,Center District,מלחמה
2021-01,31,Center District,מלחמה
2021-02,22,Center District,מלחמה
2021-03,21,Center District,מלחמה
2021-04,28,Center District,מלחמה
2021-05,60,Center District,מלחמה
2021-06,32,Center District,מלחמה
2021-07,19,Center District,מלחמה
2021-08,18,Center District,מלחמה
2021-09,21,Center District,מלחמה
2021-10,20,Center District,מלחמה
2021-11,23,Center District,מלחמה
2021-12,21,Center District,מלחמה
2022-01,28,Center District,מלחמה
2022-02,71,Center District,מלחמה
2022-03,54,Center District,מלחמה
2022-04,38,Center District,מלחמה
2022-05,35,Center District,מלחמה
2022-06,25,Center District,מלחמה
2022-07,23,Center District,מלחמה
2022-08,29,Center District,מלחמה
2022-09,30,Center District,מלחמה
2022-10,28,Center District,מלחמה
2022-11,20,Center District,מלחמה
2022-12,20,Center District,מלחמה
2014-01,31,Haifa District,מלחמה
2014-02,52,Haifa District,מלחמה
2014-03,55,Haifa District,מלחמה
2014-04,72,Haifa District,מלחמה
2014-05,47,Haifa District,מלחמה
2014-06,38,Haifa District,מלחמה
2014-07,100,Haifa District,מלחמה
2014-08,45,Haifa District,מלחמה
2014-09,41,Haifa District,מלחמה
2014-10,34,Haifa District,מלחמה
2014-11,37,Haifa District,מלחמה
2014-12,36,Haifa District,מלחמה
2015-01,33,Haifa District,מלחמה
2015-02,33,Haifa District,מלחמה
2015-03,40,Haifa District,מלחמה
2015-04,43,Haifa District,מלחמה
2015-05,31,Haifa District,מלחמה
2015-06,31,Haifa District,מלחמה
2015-07,27,Haifa District,מלחמה
2015-08,25,Haifa District,מלחמה
2015-09,37,Haifa District,מלחמה
2015-10,37,Haifa District,מלחמה
2015-11,31,Haifa District,מלחמה
2015-12,22,Haifa District,מלחמה
2016-01,22,Haifa District,מלחמה
2016-02,37,Haifa District,מלחמה
2016-03,27,Haifa District,מלחמה
2016-04,24,Haifa District,מלחמה
2016-05,33,Haifa District,מלחמה
2016-06,22,Haifa District,מלחמה
2016-07,21,Haifa District,מלחמה
2016-08,42,Haifa District,מלחמה
2016-09,47,Haifa District,מלחמה
2016-10,44,Haifa District,מלחמה
2016-11,31,Haifa District,מלחמה
2016-12,21,Haifa District,מלחמה
2017-01,22,Haifa District,מלחמה
2017-02,31,Haifa District,מלחמה
2017-03,26,Haifa District,מלחמה
2017-04,33,Haifa District,מלחמה
2017-05,28,Haifa District,מלחמה
2017-06,24,Haifa District,מלחמה
2017-07,21,Haifa District,מלחמה
2017-08,20,Haifa District,מלחמה
2017-09,16,Haifa District,מלחמה
2017-10,27,Haifa District,מלחמה
2017-11,19,Haifa District,מלחמה
2017-12,26,Haifa District,מלחמה
2018-01,24,Haifa District,מלחמה
2018-02,29,Haifa District,מלחמה
2018-03,23,Haifa District,מלחמה
2018-04,46,Haifa District,מלחמה
2018-05,55,Haifa District,מלחמה
2018-06,19,Haifa District,מלחמה
2018-07,24,Haifa District,מלחמה
2018-08,15,Haifa District,מלחמה
2018-09,18,Haifa District,מלחמה
2018-10,25,Haifa District,מלחמה
2018-11,28,Haifa District,מלחמה
2018-12,23,Haifa District,מלחמה
2019-01,30,Haifa District,מלחמה
2019-02,27,Haifa District,מלחמה
2019-03,21,Haifa District,מלחמה
2019-04,18,Haifa District,מלחמה
2019-05,41,Haifa District,מלחמה
2019-06,21,Haifa District,מלחמה
2019-07,17,Haifa District,מלחמה
2019-08,18,Haifa District,מלחמה
2019-09,25,Haifa District,מלחמה
2019-10,28,Haifa District,מלחמה
2019-11,29,Haifa District,מלחמה
2019-12,19,Haifa District,מלחמה
2020-01,25,Haifa District,מלחמה
2020-02,26,Haifa District,מלחמה
2020-03,32,Haifa District,מלחמה
2020-04,39,Haifa District,מלחמה
