"","SEMEL_YISHUV","loc","locality","X2006","X2009","X2013","X2015","X2019","X2019_2","X2020","X2021","X2022","lat","long","distance"
"31",53,"עתלית","עתלית",0.098570724494825,0.263610315186246,0.266529633436108,0.292874396135266,0.324283176858665,0.344639762317405,0.3843617522374,0.30391061452514,0.303653423837093,32.6958085,34.9465515,129.368488661558
"32",55,"נוגה","נוגה",0.217142857142857,0.380681818181818,0.376146788990826,0.512635379061372,0.517482517482518,0.399280575539568,0.626262626262626,0.565693430656934,0.448916408668731,31.6242929,34.6943355,15.0386938815863
"33",57,"כנרתקבוצה","כנרת (קבוצה)",0.0155038759689922,0.076530612244898,0.0808823529411765,0.100456621004566,0.0976190476190476,0.10250569476082,0.132723112128146,0.0974477958236659,0.0943396226415094,32.7133725,35.5614085,159.949231526676
"34",58,"מצפה","מצפה",0.051948051948052,0.252747252747253,0.213592233009709,0.148514851485149,0.194174757281553,0.212765957446809,0.282608695652174,0.247058823529412,0.258823529411765,32.790956,35.5098555,163.733926989797
"35",59,"נחושה","נחושה",0.0948275862068965,0.291338582677165,0.158602150537634,0.30316742081448,0.219269102990033,0.200674536256324,0.320388349514563,0.18025078369906,0.222900763358779,31.6278261,34.9537935,37.7662084093033
"36",62,"דגניהא","דגניה א'",0.0151057401812689,0.0421686746987952,0.0502793296089385,0.0437158469945355,0.0408719346049046,0.0597014925373134,0.0647058823529412,0.0284090909090909,0.0414201183431953,32.7072299,35.574352,160.07140846442
"37",63,"כנרתמושבה","כנרת (מושבה)",0.136882129277567,0.247311827956989,0.21474358974359,0.23728813559322,0.282321899736148,0.304709141274238,0.318302387267904,0.268292682926829,0.273209549071618,32.7396056,35.5578436,162.089501093873
"38",64,"ידרמבם","יד רמב""ם",0.164319248826291,0.406185567010309,0.359778597785978,0.440789473684211,0.594594594594595,0.5141065830721,0.678300455235205,0.609046849757674,0.520119225037258,31.900349,34.9018265,50.7356020260605
"39",65,"מגדל","מגדל",0.172173913043478,0.310679611650485,0.3382949932341,0.463785046728972,0.554126473740622,0.510989010989011,0.558886509635974,0.475336322869955,0.408811475409836,32.8363539,35.495053,167.63201331952
"40",66,"מרחביהקיבוץ","מרחביה (קיבוץ)",0.0182370820668693,0.053921568627451,0.18013468013468,0.189792663476874,0.191063174114022,0.183673469387755,0.259878419452888,0.211161387631976,0.219135802469136,32.6058495,35.30725,136.080385418716
"41",67,"אורהנר","אור הנר",0.008,0.0711743772241993,0.0483460559796438,0.0428893905191874,0.0324543610547667,0.048728813559322,0.0682302771855011,0.0540540540540541,0.0665280665280665,31.5577976,34.6007315,3.61855467565155
"42",69,"נירעוז","ניר עוז",0,0.0170940170940171,0.0313725490196078,0.0298507462686567,0.0445344129554656,0.0580357142857143,0.0578512396694215,0.0583333333333333,0.0543933054393305,31.312319,34.4019695,2.64512517359849
"43",70,"אשדוד","אשדוד",0.101345639002395,0.244692749219212,0.361417200844356,0.31494748372393,0.339393887318377,0.312271535967998,0.366207840569976,0.306853808376071,0.289223863655907,31.8082335,34.6581541,32.8144579701559
"44",71,"אשבול","אשבול",0.0784313725490196,0.208053691275168,0.207446808510638,0.444444444444444,0.420062695924765,0.434504792332268,0.559748427672956,0.42483660130719,0.372781065088757,31.4473745,34.6654445,13.3293710180359
"45",72,"גןשמואל","גן שמואל",0.00818330605564648,0.0131795716639209,0.0141287284144427,0.00894187779433681,0.0119225037257824,0.0131578947368421,0.0208023774145617,0.0103244837758112,0.0105263157894737,32.454062,34.95038,104.624727619147
"46",74,"עיןהוד","עין הוד",0.0187793427230047,0.0720338983050847,0.0559440559440559,0.068452380952381,0.037940379403794,0.0476190476190476,0.0457142857142857,0.030812324929972,0.03003003003003,32.6995071,34.9821209,131.204894390125
"47",76,"כפרגלעדי","כפר גלעדי",0.017910447761194,0.0666666666666667,0.0542857142857143,0.0359116022099447,0.0502793296089385,0.0507042253521127,0.0724233983286908,0.0646067415730337,0.0593220338983051,33.2421781,35.5754526,209.503052202745
"48",77,"איילתהשחר","איילת השחר",0.0267175572519084,0.0711610486891386,0.120805369127517,0.21866295264624,0.0723905723905724,0.0777385159010601,0.0854700854700855,0.0836236933797909,0.0952380952380952,33.023077,35.5778794,188.708047572577
"49",78,"קריתענבים","קרית ענבים",0.00975609756097561,0.0772946859903382,0.0434782608695652,0.0524017467248908,0.0409090909090909,0.0813397129186603,0.102439024390244,0.0805687203791469,0.106796116504854,31.8090964,35.1207425,60.0673974535636
"50",79,"דגניהב","דגניה ב'",0.00668896321070234,0.0196078431372549,0.0746666666666667,0.051980198019802,0.0660377358490566,0.0771144278606965,0.0893300248138958,0.0687960687960688,0.0818858560794045,32.6998335,35.57463,159.540220335769
"51",80,"נהלל","נהלל",0.0647482014388489,0.153498871331828,0.127882599580713,0.106177606177606,0.0825688073394495,0.0824372759856631,0.0837789661319073,0.0754716981132075,0.0744336569579288,32.6916755,35.198956,138.737277938939
"52",82,"עיןחרודמאוחד","עין חרוד (מאוחד)",0.0272108843537415,0.0782241014799154,0.0780590717299578,0.0600414078674948,0.0471311475409836,0.0442655935613682,0.0705645161290323,0.0445344129554656,0.0572033898305085,32.557856,35.391689,136.310456418484
"53",84,"תליוסף","תל יוסף",0.012987012987013,0.0562248995983936,0.0364963503649635,0.0346020761245675,0.0452961672473868,0.0330882352941176,0.0324909747292419,0.036231884057971,0.0537634408602151,32.555386,35.398222,136.658622065715
"54",85,"כפריחזקאל","כפר יחזקאל",0.0363128491620112,0.119266055045872,0.083495145631068,0.0872727272727273,0.0757314974182444,0.0974358974358974,0.111298482293423,0.0831918505942275,0.101160862354892,32.5668535,35.3595726,135.346277832798
"55",86,"גבע","גבע",0.00552486187845304,0.0350404312668464,0.0212201591511936,0.0232558139534884,0.0106100795755968,0.0289473684210526,0.0345744680851064,0.02088772845953,0.0256410256410256,32.566335,35.3733486,136.160889289923
"56",89,"עיןחרודאיחוד","עין חרוד (איחוד)",0.0132275132275132,0.0807291666666667,0.0816831683168317,0.0707317073170732,0.0658227848101266,0.04,0.0664893617021277,0.041994750656168,0.0303030303030303,32.5657365,35.3916084,136.999895835351
"57",90,"חפציבה","חפצי-בה",0.00386100386100386,0.0232558139534884,0.0406779661016949,0.0825082508250825,0.126491646778043,0.157772621809745,0.181598062953995,0.155717761557178,0.127139364303178,32.518864,35.425948,135.195289681055
"58",92,"גיניגר","גיניגר",0.0151515151515152,0.0472972972972973,0.074792243767313,0.073490813648294,0.0812182741116751,0.081151832460733,0.10079575596817,0.0751295336787565,0.0692520775623269,32.664113,35.2578845,138.992326041924
"59",94,"בלפוריה","בלפוריה",0.08,0.142045454545455,0.184738955823293,0.151291512915129,0.185185185185185,0.158385093167702,0.267477203647416,0.157099697885196,0.1375,32.6298995,35.2966354,137.623946214418
"60",95,"ביתאלפא","בית אלפא",0,0.0365168539325843,0.0344827586206897,0.0879345603271984,0.0373831775700935,0.028436018957346,0.0506024096385542,0.0507246376811594,0.173489278752437,32.5169685,35.4320531,135.40477134888
"61",96,"יגור","יגור",0.0125,0.0311778290993072,0.0485327313769752,0.0314606741573034,0.0419806243272336,0.0471092077087794,0.0488599348534202,0.0374862183020948,0.0415730337078652,32.7415995,35.076898,139.036794209084
"62",97,"מרחביהמושב","מרחביה (מושב)",0.0801186943620178,0.191214470284238,0.195822454308094,0.17005076142132,0.157142857142857,0.153301886792453,0.209677419354839,0.151515151515152,0.152073732718894,32.6046995,35.3081,136.341541499121
"63",98,"כפרמלל","כפר מל""ל",0.101851851851852,0.157657657657658,0.15625,0.139830508474576,0.151898734177215,0.133620689655172,0.147982062780269,0.139013452914798,0.161904761904762,32.1676809,34.8943739,74.0821294160887
"64",99,"מצפהרמון","מצפה רמון",0.099702380952381,0.236413043478261,0.322076612903226,0.279102384291725,0.304513064133017,0.309879518072289,0.3739336492891,0.255913978494624,0.263238289205703,30.621129,34.81849,84.261195327813
"65",102,"מאירשפיה","מאיר שפיה",0,0.125,0.134615384615385,0.244897959183673,0.277777777777778,0.290322580645161,0.326923076923077,0.196428571428571,0.377358490566038,32.5912213,34.9710703,119.451090474651
"66",103,"תלעדשים","תל עדשים",0.0753623188405797,0.246153846153846,0.165120593692022,0.181372549019608,0.191964285714286,0.193302891933029,0.247692307692308,0.182621502209131,0.214714714714715,32.6565105,35.3039544,140.47762855723
"67",104,"מזרע","מזרע",0.00680272108843537,0.0344086021505376,0.0231578947368421,0.0147368421052632,0.028,0.0349075975359343,0.0362173038229376,0.0216962524654832,0.0306748466257669,32.65049,35.285987,139.220795366628
"68",106,"כפרגדעון","כפר גדעון",0.0260869565217391,0.181818181818182,0.114035087719298,0.0846153846153846,0.172413793103448,0.207142857142857,0.26865671641791,0.177777777777778,0.14,32.6438401,35.2910261,138.77677700563
"69",107,"כפרסילבר","כפר סילבר",0.0980392156862745,0.19672131147541,0.214285714285714,0.274509803921569,0.176470588235294,0.171428571428571,0.264705882352941,0.222222222222222,0.107142857142857,31.6756685,34.612311,13.9104946176358
"70",112,"כפרחסידיםא","כפר חסידים א'",0.0865671641791045,0.215686274509804,0.142131979695431,0.165816326530612,0.163265306122449,0.186224489795918,0.259640102827764,0.161125319693095,0.163588390501319,32.751098,35.094092,140.102641473621
"71",113,"אדירים","אדירים",0.377483443708609,0.339869281045752,0.251612903225806,0.35,0.548571428571429,0.43979057591623,0.601092896174863,0.466666666666667,0.386363636363636,32.5491954,35.272318,128.971931401726
"72",115,"חופית","חופית",0.0223123732251521,0.0859375,0.096045197740113,0.0780399274047187,0.0747126436781609,0.0806142034548944,0.0923076923076923,0.0716783216783217,0.073943661971831,32.385757,34.8755282,94.9380809725268
"73",122,"רמתישי","רמת ישי",0.076025592773805,0.213911972914743,0.217081850533808,0.208055290753098,0.237950397753861,0.249164677804296,0.30325932923949,0.226657329598506,0.234902411021814,32.7061594,35.1687169,138.91793571784
"74",126,"שריד","שריד",0.00235849056603774,0.0285714285714286,0.0622568093385214,0.0417457305502846,0.0403669724770642,0.0457875457875458,0.051948051948052,0.0543071161048689,0.0507518796992481,32.6642239,35.2251395,137.118194380537
"75",127,"רמתרחל","רמת רחל",0.0224215246636771,0.0986547085201794,0.0857142857142857,0.0926640926640927,0.0880281690140845,0.0809859154929577,0.120689655172414,0.0833333333333333,0.106007067137809,31.7403486,35.2202885,65.4079780530766
"76",128,"גתרימון","גת רימון",0.0451127819548872,0.129770992366412,0.0857142857142857,0.157894736842105,0.184931506849315,0.197278911564626,0.243243243243243,0.197452229299363,0.197183098591549,32.068303,34.880092,64.0812545760375
"77",130,"משמרהעמק","משמר העמק",0.00512820512820513,0.0135363790186125,0.019578313253012,0.0178041543026706,0.0195804195804196,0.0222531293463143,0.0237762237762238,0.0205479452054795,0.0168302945301543,32.6097176,35.1418074,128.366238669448
"78",132,"כפרברוך","כפר ברוך",0.0753424657534247,0.194285714285714,0.216450216450216,0.22265625,0.222996515679443,0.247422680412371,0.261324041811847,0.216312056737589,0.202985074626866,32.6460175,35.1907171,134.099303457774
"79",133,"גבת","גבת",0.00888888888888889,0.0302375809935205,0.0278330019880716,0.0280373831775701,0.0380434782608696,0.0322003577817531,0.0526315789473684,0.0361663652802893,0.0316901408450704,32.6747386,35.2124295,137.620691265818
"80",134,"יפעת","יפעת",0.00453514739229025,0.0504385964912281,0.0489236790606654,0.0615942028985507,0.0804020100502513,0.096,0.111287758346582,0.0963665086887836,0.0941358024691358,32.6772201,35.2244009,138.690136740498
"81",135,"רמתדוד","רמת דוד",0.0252100840336134,0.0635593220338983,0.0645161290322581,0.0599250936329588,0.0539568345323741,0.0734265734265734,0.119298245614035,0.0753424657534247,0.0819672131147541,32.6781214,35.2031079,137.650718938886
"82",139,"עיןשמר","עין שמר",0,0.0292682926829268,0.0354609929078014,0.0319634703196347,0.0396270396270396,0.0304449648711944,0.0444964871194379,0.037914691943128,0.0281995661605206,32.462106,35.0065911,108.099721457258
"83",140,"כפריהושע","כפר יהושע",0.0188679245283019,0.0726872246696035,0.0632911392405063,0.0512820512820513,0.0540540540540541,0.0581039755351682,0.0837070254110613,0.0563165905631659,0.079136690647482,32.683821,35.1514906,135.720602416529
"84",141,"ברק","ברק",0.111111111111111,0.187878787878788,0.193069306930693,0.3125,0.384259259259259,0.407079646017699,0.422018348623853,0.388059701492537,0.365296803652968,32.5416905,35.2650905,128.042030631486
"85",142,"שדהיעקב","שדה יעקב",0.0457746478873239,0.172727272727273,0.15695067264574,0.175475687103594,0.218253968253968,0.248987854251012,0.29940119760479,0.225296442687747,0.243295019157088,32.697437,35.1419005,136.784123812295
"86",143,"ביתזרע","בית זרע",0.00508905852417303,0.0159151193633952,0.0380710659898477,0.0298507462686567,0.0338541666666667,0.0346666666666667,0.0537634408602151,0.0446194225721785,0.0606060606060606,32.6888225,35.5735085,158.548010745807
"87",144,"גןשלמה","גן שלמה",0.00740740740740741,0.0433212996389892,0.0141342756183746,0.0132890365448505,0.0243161094224924,0.0314465408805031,0.0371517027863777,0.0181268882175227,0.01875,31.878022,34.7986829,42.6329529521299
"88",145,"גדיש","גדיש",0.284810126582278,0.441860465116279,0.411764705882353,0.666666666666667,0.814432989690722,0.765957446808511,0.8,0.791044776119403,0.741626794258373,32.5596795,35.245248,128.484908771428
"89",146,"דבורה","דבורה",0.0845070422535211,0.184397163120567,0.158536585365854,0.149068322981366,0.22360248447205,0.212121212121212,0.25974025974026,0.160839160839161,0.215827338129496,32.5535275,35.2645125,128.936771515213
"90",147,"גבעתברנר","גבעת ברנר",0.0170731707317073,0.0553672316384181,0.0913207547169811,0.0913107511045655,0.0848656294200849,0.0930397727272727,0.102322206095791,0.0783345095271701,0.0918009810791871,31.8663165,34.8036534,41.7210537044366
"91",154,"תלמונד","תל מונד",0.0918032786885246,0.23474855729596,0.196028420477318,0.213093709884467,0.235493914520238,0.240567375886525,0.275035260930889,0.214127423822715,0.215477412731006,32.2407701,34.9059535,81.8393183417163
"92",155,"בארטוביה","באר טוביה",0.0328638497652582,0.0855263157894737,0.0690335305719921,0.0628465804066543,0.0788643533123028,0.0948795180722892,0.118564742589704,0.0810810810810811,0.104166666666667,31.7344595,34.722009,25.5934148110761
"93",156,"עיינות","עיינות",0,0.147058823529412,0.0925925925925926,0.176470588235294,0.207547169811321,0.226415094339623,0.34,0.219512195121951,0.173913043478261,31.9157995,34.768097,44.1019342649679
"94",157,"עיןורד","עין ורד",0.0371681415929204,0.0784615384615385,0.0625,0.0710900473933649,0.0576923076923077,0.0524515393386545,0.072189349112426,0.0430939226519337,0.0706955530216648,32.2640975,34.934946,85.1410467805887
"95",158,"נען","נען",0.00387596899224806,0.030690537084399,0.0455555555555556,0.0277777777777778,0.0383451059535822,0.0489795918367347,0.0431293881644935,0.0440881763527054,0.0433905146316852,31.884339,34.8583524,46.6886027499249
"96",159,"ביתחנן","בית חנן",0.0398773006134969,0.118980169971671,0.11340206185567,0.109243697478992,0.0953545232273839,0.113861386138614,0.149253731343284,0.1,0.0981432360742706,31.933911,34.7699585,45.9969249918257
"97",160,"חולדה","חולדה",0.0104166666666667,0.0761904761904762,0.102040816326531,0.104408352668213,0.126893939393939,0.134099616858238,0.147663551401869,0.11588785046729,0.11231884057971,31.8311671,34.8818439,43.8706294056416
"98",162,"חירות","חירות",0.0173010380622837,0.0720858895705521,0.0497159090909091,0.0504201680672269,0.0471204188481675,0.0395256916996047,0.0452729693741678,0.0332005312084993,0.0388219544846051,32.2403081,34.91468,82.0307901235294
"99",163,"תימורים","תימורים",0.027027027027027,0.0902255639097744,0.121681415929204,0.116129032258065,0.100603621730382,0.100840336134454,0.155844155844156,0.125279642058166,0.146017699115044,31.7151415,34.7605895,26.528020004765
"100",164,"מלאה","מלאה",0.25,0.395209580838323,0.323383084577114,0.536231884057971,0.589285714285714,0.6,0.702586206896552,0.625570776255708,0.516279069767442,32.5630945,35.235457,128.563141084566
"101",165,"ניריפה","ניר יפה",0.0428571428571429,0.183962264150943,0.246212121212121,0.332247557003257,0.361204013377926,0.389261744966443,0.461538461538462,0.414556962025316,0.312312312312312,32.5698615,35.2441356,129.525440682051
"102",166,"גןיבנה","גן יבנה",0.131459350277731,0.296092951991828,0.272317310648765,0.317283278926369,0.388592968942063,0.380398944939004,0.454257907542579,0.368189733808774,0.37182195102871,31.7913644,34.7005495,29.9154748258525
"103",167,"עיןהחורש","עין החורש",0.0103305785123967,0.0276134122287968,0.0196463654223969,0.0168539325842697,0.0125,0.0162162162162162,0.0239410681399632,0.0113851992409867,0.00735294117647059,32.3864185,34.9393695,97.5473823448927
"104",168,"כפריונה","כפר יונה",0.109389079113354,0.266941326893025,0.249648914335098,0.279595535629114,0.349056603773585,0.34033540802213,0.398874544852698,0.315920198702027,0.321790540540541,32.323707,34.9255086,90.576870783309
"105",170,"כפריעבץ","כפר יעבץ",0.133802816901408,0.397515527950311,0.27810650887574,0.433155080213904,0.516483516483517,0.495934959349593,0.603723404255319,0.473544973544974,0.464387464387464,32.2734364,34.964609,87.7154326228842
"106",171,"פרדסיה","פרדסיה",0.0717488789237668,0.212186160440906,0.18385269121813,0.196083763937993,0.230668756530825,0.240976645435244,0.28412403922608,0.213175425610659,0.228010052547407,32.3079525,34.909346,88.440339967703
"107",173,"גבעתחייםמאוחד","גבעת חיים (מאוחד)",0.00991735537190083,0.0338164251207729,0.0414814814814815,0.0381231671554252,0.0546528803545052,0.0461997019374069,0.0674662668665667,0.0327380952380952,0.0477611940298507,32.3916616,34.928827,97.751044209975
"108",174,"נטעים","נטעים",0.0426356589147287,0.169435215946844,0.163538873994638,0.139473684210526,0.118932038834951,0.142857142857143,0.17096018735363,0.154022988505747,0.148648648648649,31.9448125,34.7734194,47.1663838484415
"109",175,"אביחיל","אביחיל",0.0349417637271215,0.129657228017884,0.0988857938718663,0.105191256830601,0.111559139784946,0.116120218579235,0.156889495225102,0.11978465679677,0.141210374639769,32.3512015,34.8701769,91.3134564423993
"110",176,"אפיקים","אפיקים",0.00589970501474926,0.0383480825958702,0.0386266094420601,0.0249307479224377,0.0403225806451613,0.0463483146067416,0.0629274965800274,0.0509641873278237,0.0524822695035461,32.6802345,35.5777715,157.928231756798
"111",177,"כפרבילו","כפר ביל""ו",0.042830540037244,0.12248322147651,0.103174603174603,0.0955882352941176,0.1189111747851,0.0852941176470588,0.142028985507246,0.1158357771261,0.0905044510385757,31.8726545,34.829693,43.7948399142202
"112",178,"רמתיוחנן","רמת יוחנן",0.00717703349282297,0.0321199143468951,0.0626185958254269,0.053475935828877,0.0549828178694158,0.053475935828877,0.0643478260869565,0.0595446584938704,0.0601374570446735,32.7921545,35.122295,145.894358688553
"113",182,"אבןיהודה","אבן יהודה",0.0867647058823529,0.206053769505546,0.184023668639053,0.189819285418678,0.210658555937583,0.2112,0.246884115619199,0.189003436426117,0.196152346288834,32.267805,34.8814773,83.4270659594043
"114",183,"ירקונה","ירקונה",0.0379746835443038,0.128712871287129,0.158878504672897,0.115384615384615,0.103004291845494,0.101321585903084,0.128888888888889,0.0952380952380952,0.102678571428571,32.1437205,34.8991991,72.0853343705113
"115",184,"רמתהכובש","רמת הכובש",0.0192771084337349,0.034965034965035,0.0376106194690266,0.0331262939958592,0.0393700787401575,0.0361216730038023,0.0526315789473684,0.0325047801147228,0.0415879017013233,32.2173385,34.938611,80.9813124811561
"116",187,"כפרהס","כפר הס",0.0249554367201426,0.0868217054263566,0.0687237026647966,0.0638297872340425,0.054726368159204,0.054320987654321,0.0749063670411985,0.0381773399014778,0.0489596083231334,32.2462419,34.9341671,83.5883192616963
"117",188,"אשדותיעקבמאוח","אשדות יעקב  (מאוח",0.0254237288135593,0.0604838709677419,0.0531914893617021,0.101351351351351,0.137535816618911,0.142441860465116,0.160220994475138,0.132596685082873,0.136476426799007,32.6627285,35.5835955,156.939741967343
"118",189,"כפרפינס","כפר פינס",0.0641025641025641,0.208494208494208,0.106529209621993,0.181818181818182,0.152866242038217,0.165562913907285,0.230031948881789,0.121311475409836,0.131410256410256,32.4839884,35.0019444,109.838072284152
"119",190,"כפרויתקין","כפר ויתקין",0.0204313280363224,0.0698447893569845,0.0480678605089538,0.033271719038817,0.0462107208872458,0.043519394512772,0.0490566037735849,0.0264400377714825,0.0417853751187085,32.3822145,34.8794445,94.8236237701812
"120",191,"הדרעם","הדר עם",0.0316901408450704,0.10580204778157,0.0929577464788732,0.0638297872340425,0.0705882352941176,0.0871670702179177,0.109223300970874,0.078239608801956,0.080952380952381,32.3494611,34.900045,92.2414052648423
"121",192,"כפרהחורש","כפר החורש",0.00735294117647059,0.0372881355932203,0.043343653250774,0.0694864048338369,0.0704607046070461,0.0784313725490196,0.0968660968660969,0.0792349726775956,0.0748663101604278,32.701404,35.273488,143.307484901523
"122",193,"כפרחיים","כפר חיים",0.0337837837837838,0.110759493670886,0.0660660660660661,0.0705521472392638,0.08,0.0876132930513595,0.0838150289017341,0.0857988165680473,0.0917159763313609,32.3565545,34.897966,92.7892811677034
"123",194,"משמרהשרון","משמר השרון",0.00687285223367698,0.0380622837370242,0.0642201834862385,0.0523255813953488,0.0408163265306122,0.0373563218390805,0.0515759312320917,0.050561797752809,0.0479041916167665,32.3570245,34.9043595,93.1616046933724
