"","V1","location"
"852","1636","צופיה "
"876","1660","קבועה "
"879","1663","קבלאן "
"880","1664","קדומים "
"885","1669","קדמת צבי "
"892","1676","קוזה "
"895","1679","קוסרה "
"898","1682","קיבוץ דן "
"902","1686","קירה "
"904","1688","קליה "
"907","1691","קלע "
"915","1699","קצר-א-סיר והפזורה "
"916","1700","קצרין "
"924","1708","קריית חינוך מרחבים "
"932","1716","קריית שמונה "
"934","1718","קרית ארבע "
"939","1723","קרית חינוך מרחבים "
"940","1724","קרית חינוך שדות נגב "
"949","1733","קרית שלמה "
"951","1735","קרית שמונה "
"953","1737","קרני שומרון "
"955","1739","קשת "
"959","1743","ראם תשלובת חקלאית "
"973","1757","ראש צורים "
"974","1758","רבבה "
"981","1765","רהט והפזורה "
"982","1766","רוג’ייב "
"993","1777","רועי "
"998","1782","רחלים "
"1000","1784","רטורנו - גבעת שמש "
"1004","1788","רימונים "
"1008","1792","רמאללה "
"1009","1793","רמון "
"1022","1806","רמת הנדיב "
"1028","1812","רמת מגשימים "
"1037","1821","רפידיה "
"1042","1826","שאר ישוב "
"1043","1827","שבות רחל "
"1050","1834","שגב שלום והפזורה "
"1064","1848","שדה נחמיה "
"1079","99","אזור תעשייה כנות "
"1080","100","אזור תעשייה כרמיאל "
"1081","101","אזור תעשייה מבואות הגלבוע "
"1082","102","אזור תעשייה ניר עציון "
"1083","103","אזור תעשייה נ.ע.מ "
"1084","104","אזור תעשייה נעמן "
"1085","105","אזור תעשייה נשר - רמלה "
"1086","106","אזור תעשייה עד הלום "
"1087","107","אזור תעשייה עידן הנגב "
"1088","108","אזור תעשייה צ.ח.ר "
"1089","109","אזור תעשייה צמח "
"1090","110","אזור תעשייה צפוני אשקלון "
"1091","111","אזור תעשייה קיסריה "
"1092","112","אזור תעשייה קריית גת "
"1093","113","אזור תעשייה רגבים "
"1094","114","אזור תעשייה רמת דלתון "
"1095","115","אזור תעשייה שחורת "
"1096","116","אזור תעשייה שער בנימין "
"1097","117","אזור תעשייה שער נעמן "
"1098","118","אזור תעשייה תימורים "
"1115","135","איילת השחר "
"1123","143","איסכאכא "
"1125","145","איתמר "
"1137","157","א לובאן "
"1143","163","אלון הגליל "
"1145","165","אלוני הבשן "
"1148","168","אלון מורה "
"1149","169","אלון שבות "
"1151","171","אל ח’דר "
"1157","177","אלי-עד "
"1165","185","אלמגור "
"1166","186","אלמוג "
"1172","192"," אל-סייד והפזורה "
"1198","1884","שילה "
"1200","1886","שכם "
"1203","1889","שלווה במדבר "
"1208","1894","שמיר "
"1213","1899","שניר "
"1215","1901","שעורים "
"1216","1902","שעל "
"1219","1905","שער הגולן "
"1222","1908","שער מנשה "
"1240","1926","תומר "
"1242","1928","תורמוס עייא "
"1244","1930","תחנת רכבת ראש העין "
"1248","1934","תל אביב - דרום העיר ויפו "
"1255","1941","תל חי "
"1269","1955"," תל ערד ואל פורה "
"1270","1956","תלפית במרכז השומרון "
"1271","1957","תל קציר "
"1278","1964","תעשיון השרון "
"1279","1965","תעשיון חצב "
"1280","1966","תעשיון צריפין "
"1281","1967","תעשיון שח”ק "
"1285","1971","תקומה וחוות יזרעם "
"1289","1975","תראבין א-צאנע ופזורה "
"1291","1977","תרדיון "
"1304","207","אל פורעה "
"1310","213","אלקנה "
"1315","218","אל-רום "
"1318","221","אמנון "
"1322","225","אניעם "
"1324","227","א סלבה "
"1325","228","אספר "
"1329","232","אפיק "
"1330","233","אפיקים "
"1332","235","אפרת "
"1337","240","ארגמן "
"1340","243","אריאל "
"1343","246","ארצי-היכנסו למרחב מוגן "
"1347","250","אשדות יעקב  (איחוד) "
"1348","251","אשדות יעקב  (מאוחד) "
"1360","263","א.ת אשקלון "
"1362","265","אתר דודאים "
"1379","282","באר שבע - צפון "
"1386","289","בוקעתא "
"1387","290","בורג’ "
"1389","292","בורהאם "
"1391","294","בורין "
"1406","309","ביר זית "
"1409","312","בית א אל פוקא "
"1418","321","בית אל "
"1423","326","בית אריה "
"1433","336","בית הלל "
"1435","338","בית הערבה "
"1441","344","בית זרע "
"1453","356","ביתין "
"1456","359","בית ירח "
"1467","370","בית סוהר השרון "
"1468","371","בית סוהר מגידו "
"1472","375","בית ספר אורט בנימינה "
"1473","376","בית ספר שדה מירון "
"1480","383","בית עלמין תל רגב "
"1484","387","בית פוריכ "
"1485","388","בית צבי "
"1488","391","בית רבן "
"1492","395","ביתר עילית "
"1499","402","בלאטה "
"1507","410","בני יהודה "
"1508","411","בני יהודה וגבעת יואב "
"1531","434","ברורים "
"1535","438","ברכה "
"1547","450","בת עין "
"1552","455","ג’אלוד "
"1554","457","ג’אניה "
"1569","472","גבעת אסף "
"1572","475","גבעת וולפסון "
"1575","478","גבעת חביבה "
"1580","483","גבעת יואב "
"1586","489","גבעת סנה יעקב "
"1594","497","גדות "
"1601","504","ג’ודירה "
"1604","507","גולן 4 "
"1605","508","ג’וניד "
"1606","509","גונן "
"1609","512","ג’וריש "
"1616","519","ג’יב "
"1617","520","ג’יביא "
"1621","524","ג’ילג’יליא "
"1631","534","גיתית "
"1634","537","גלגל "
"1635","538","ג’לזון "
"1639","542","ג’מאעין "
"1652","555","גני יוחנן "
"1663","566","ג’פנא "
"1667","570","גשור "
"1677","580","דגניה א' "
"1678","581","דגניה ב' "
"1679","582","דהיישה מחנה פליטים "
"1682","585","דהרייה "
"1684","587","דולב "
"1685","588","דומא "
"1686","589","דומא במרכז שומרון "
"1689","592","דורא אל קריע "
"1698","601","דיר איסתיא "
"1699","602","דיר אל חטב "
"1700","603","דיר א סודאן "
"1702","605","דיר ג’ריר "
"1703","606","דיר דיבוואן "
"1718","621","דניאל "
"1719","622","דן 159 מזרח תל אביב "
"1720","623","דן 156 צפון תל אביב "
"1721","624","דפנה "
"1723","626","דרום השפלה 187 "
"1725","628","האון "
"1728","631","הגושרים "
"1740","643","הילה "
"1742","645","המכללה האקדמית כנרת "
"1749","652","הר גריזים "
"1751","654","הר עמשא "
"1754","657","הרצליה - מרכז וגליל ים "
"1757","660","ואדי אל נעם "
"1758","661","ואדי אל נעם דרום "
"1764","667","ורדים מוסד חינוכי "
"1765","668","ורד יריחו "
"1770","673","זובידאת "
"1772","675","זוואתא "
"1783","686","זמרת ושובה "
"1790","693","חארס "
"1801","704","חד-נס "
"1804","707","חדרה - מערב "
"1805","708","חדרה - מרכז "
"1808","711","ח’וארה "
"1822","725","חולתה "
"1832","735","חי-בר יטבתה "
"1838","741","ח’ירבת אבו פלאח "
"1841","744","ח’ירבת א טירה "
"1850","753","ח’ירבת ספא "
"1852","755","ח’ירבת קיס "
"1859","762","ח’לת אל פולה "
"1863","766","חמדת "
"1865","768","חמרה "
"1866","769","חמת גדר "
"1871","774","חספין "
"1874","777","חפר 148 "
"1887","790","חרמלה "
"1894","797","טובא-זנגריה "
"1899","802","טייבה ליד עפרה "
"1907","810","טלמון "
"1916","819","יאנון "
"1917","820","יאסוף "
"1922","825","יברוד "
"1932","835","יהודה 205 "
"1935","838","יובל "
"1938","841","יונתן "
"1947","850","ייט""ב "
"1948","851","יכיני "
"1949","852","ים המלח בתי מלון "
"1954","857","יסוד המעלה "
"1959","862","יעל "
"1962","865","יערות הכרמל "
"1964","867","יפית "
"1967","870","יצהר "
"1970","873","יקיר "
"1975","878","ירושלים - אזור תעשייה עטרות "
