date,Value,District,Keyword,Timeframe
2017-11-26,0,Center District,netanyahu,2017-2019
2017-12-03,0,Center District,netanyahu,2017-2019
2017-12-10,23,Center District,netanyahu,2017-2019
2017-12-17,0,Center District,netanyahu,2017-2019
2017-12-24,0,Center District,netanyahu,2017-2019
2017-12-31,0,Center District,netanyahu,2017-2019
2018-01-07,53,Center District,netanyahu,2017-2019
2018-01-14,21,Center District,netanyahu,2017-2019
2018-01-21,0,Center District,netanyahu,2017-2019
2018-01-28,28,Center District,netanyahu,2017-2019
2018-02-04,0,Center District,netanyahu,2017-2019
2018-02-11,41,Center District,netanyahu,2017-2019
2018-02-18,60,Center District,netanyahu,2017-2019
2018-02-25,32,Center District,netanyahu,2017-2019
2018-03-04,55,Center District,netanyahu,2017-2019
2018-03-11,0,Center District,netanyahu,2017-2019
2018-03-18,0,Center District,netanyahu,2017-2019
2018-03-25,24,Center District,netanyahu,2017-2019
2018-04-01,48,Center District,netanyahu,2017-2019
2018-04-08,0,Center District,netanyahu,2017-2019
2018-04-15,0,Center District,netanyahu,2017-2019
2018-04-22,0,Center District,netanyahu,2017-2019
2018-04-29,85,Center District,netanyahu,2017-2019
2018-05-06,19,Center District,netanyahu,2017-2019
2018-05-13,51,Center District,netanyahu,2017-2019
2018-05-20,0,Center District,netanyahu,2017-2019
2018-05-27,0,Center District,netanyahu,2017-2019
2018-06-03,0,Center District,netanyahu,2017-2019
2018-06-10,0,Center District,netanyahu,2017-2019
2018-06-17,0,Center District,netanyahu,2017-2019
2018-06-24,0,Center District,netanyahu,2017-2019
2018-07-01,0,Center District,netanyahu,2017-2019
2018-07-08,0,Center District,netanyahu,2017-2019
2018-07-15,0,Center District,netanyahu,2017-2019
2018-07-22,0,Center District,netanyahu,2017-2019
2018-07-29,0,Center District,netanyahu,2017-2019
2018-08-05,0,Center District,netanyahu,2017-2019
2018-08-12,0,Center District,netanyahu,2017-2019
2018-08-19,0,Center District,netanyahu,2017-2019
2018-08-26,0,Center District,netanyahu,2017-2019
2018-09-02,0,Center District,netanyahu,2017-2019
2018-09-09,0,Center District,netanyahu,2017-2019
2018-09-16,0,Center District,netanyahu,2017-2019
2018-09-23,64,Center District,netanyahu,2017-2019
2018-09-30,25,Center District,netanyahu,2017-2019
2018-10-07,0,Center District,netanyahu,2017-2019
2018-10-14,25,Center District,netanyahu,2017-2019
2018-10-21,0,Center District,netanyahu,2017-2019
2018-10-28,21,Center District,netanyahu,2017-2019
2018-11-04,0,Center District,netanyahu,2017-2019
2018-11-11,0,Center District,netanyahu,2017-2019
2018-11-18,24,Center District,netanyahu,2017-2019
2018-11-25,0,Center District,netanyahu,2017-2019
2018-12-02,33,Center District,netanyahu,2017-2019
2018-12-09,0,Center District,netanyahu,2017-2019
2018-12-16,26,Center District,netanyahu,2017-2019
2018-12-23,25,Center District,netanyahu,2017-2019
2018-12-30,22,Center District,netanyahu,2017-2019
2019-01-06,22,Center District,netanyahu,2017-2019
2019-01-13,0,Center District,netanyahu,2017-2019
2019-01-20,0,Center District,netanyahu,2017-2019
2019-01-27,30,Center District,netanyahu,2017-2019
2019-02-03,19,Center District,netanyahu,2017-2019
2019-02-10,20,Center District,netanyahu,2017-2019
2019-02-17,30,Center District,netanyahu,2017-2019
2019-02-24,46,Center District,netanyahu,2017-2019
2019-03-03,34,Center District,netanyahu,2017-2019
2019-03-10,20,Center District,netanyahu,2017-2019
2019-03-17,47,Center District,netanyahu,2017-2019
2019-03-24,43,Center District,netanyahu,2017-2019
2019-03-31,34,Center District,netanyahu,2017-2019
2019-04-07,100,Center District,netanyahu,2017-2019
2019-04-14,32,Center District,netanyahu,2017-2019
2019-04-21,22,Center District,netanyahu,2017-2019
2019-04-28,21,Center District,netanyahu,2017-2019
2019-05-05,23,Center District,netanyahu,2017-2019
2019-05-12,0,Center District,netanyahu,2017-2019
2019-05-19,0,Center District,netanyahu,2017-2019
2019-05-26,35,Center District,netanyahu,2017-2019
2019-06-02,32,Center District,netanyahu,2017-2019
2019-06-09,0,Center District,netanyahu,2017-2019
2019-06-16,23,Center District,netanyahu,2017-2019
2019-06-23,21,Center District,netanyahu,2017-2019
2019-06-30,22,Center District,netanyahu,2017-2019
2019-07-07,25,Center District,netanyahu,2017-2019
2019-07-14,25,Center District,netanyahu,2017-2019
2019-07-21,0,Center District,netanyahu,2017-2019
2019-07-28,0,Center District,netanyahu,2017-2019
2019-08-04,24,Center District,netanyahu,2017-2019
2019-08-11,35,Center District,netanyahu,2017-2019
2019-08-18,31,Center District,netanyahu,2017-2019
2019-08-25,22,Center District,netanyahu,2017-2019
2019-09-01,0,Center District,netanyahu,2017-2019
2019-09-08,45,Center District,netanyahu,2017-2019
2019-09-15,82,Center District,netanyahu,2017-2019
2019-09-22,39,Center District,netanyahu,2017-2019
2019-09-29,27,Center District,netanyahu,2017-2019
2019-10-06,20,Center District,netanyahu,2017-2019
2019-10-13,22,Center District,netanyahu,2017-2019
2019-10-20,20,Center District,netanyahu,2017-2019
2019-10-27,19,Center District,netanyahu,2017-2019
2019-11-03,0,Center District,netanyahu,2017-2019
2019-11-10,34,Center District,netanyahu,2017-2019
2019-11-17,55,Center District,netanyahu,2017-2019
2019-11-24,20,Center District,netanyahu,2017-2019
2019-12-01,21,Center District,netanyahu,2017-2019
2019-12-08,26,Center District,netanyahu,2017-2019
2019-12-15,0,Center District,netanyahu,2017-2019
2019-12-22,0,Center District,netanyahu,2017-2019
2019-12-29,21,Center District,netanyahu,2017-2019
2019-12-29,28,Center District,netanyahu,2020-2022
2020-01-05,38,Center District,netanyahu,2020-2022
2020-01-12,0,Center District,netanyahu,2020-2022
2020-01-19,33,Center District,netanyahu,2020-2022
2020-01-26,53,Center District,netanyahu,2020-2022
2020-02-02,31,Center District,netanyahu,2020-2022
2020-02-09,26,Center District,netanyahu,2020-2022
2020-02-16,27,Center District,netanyahu,2020-2022
2020-02-23,65,Center District,netanyahu,2020-2022
2020-03-01,96,Center District,netanyahu,2020-2022
2020-03-08,65,Center District,netanyahu,2020-2022
2020-03-15,49,Center District,netanyahu,2020-2022
2020-03-22,35,Center District,netanyahu,2020-2022
2020-03-29,53,Center District,netanyahu,2020-2022
2020-04-05,34,Center District,netanyahu,2020-2022
2020-04-12,44,Center District,netanyahu,2020-2022
2020-04-19,34,Center District,netanyahu,2020-2022
2020-04-26,21,Center District,netanyahu,2020-2022
2020-05-03,20,Center District,netanyahu,2020-2022
2020-05-10,28,Center District,netanyahu,2020-2022
2020-05-17,38,Center District,netanyahu,2020-2022
2020-05-24,58,Center District,netanyahu,2020-2022
2020-05-31,39,Center District,netanyahu,2020-2022
2020-06-07,0,Center District,netanyahu,2020-2022
2020-06-14,0,Center District,netanyahu,2020-2022
2020-06-21,23,Center District,netanyahu,2020-2022
2020-06-28,0,Center District,netanyahu,2020-2022
2020-07-05,36,Center District,netanyahu,2020-2022
2020-07-12,58,Center District,netanyahu,2020-2022
2020-07-19,41,Center District,netanyahu,2020-2022
2020-07-26,36,Center District,netanyahu,2020-2022
2020-08-02,29,Center District,netanyahu,2020-2022
2020-08-09,32,Center District,netanyahu,2020-2022
2020-08-16,33,Center District,netanyahu,2020-2022
2020-08-23,25,Center District,netanyahu,2020-2022
2020-08-30,0,Center District,netanyahu,2020-2022
2020-09-06,31,Center District,netanyahu,2020-2022
2020-09-13,48,Center District,netanyahu,2020-2022
2020-09-20,50,Center District,netanyahu,2020-2022
2020-09-27,66,Center District,netanyahu,2020-2022
2020-10-04,34,Center District,netanyahu,2020-2022
2020-10-11,24,Center District,netanyahu,2020-2022
2020-10-18,0,Center District,netanyahu,2020-2022
2020-10-25,0,Center District,netanyahu,2020-2022
2020-11-01,23,Center District,netanyahu,2020-2022
2020-11-08,49,Center District,netanyahu,2020-2022
2020-11-15,0,Center District,netanyahu,2020-2022
2020-11-22,27,Center District,netanyahu,2020-2022
2020-11-29,0,Center District,netanyahu,2020-2022
2020-12-06,27,Center District,netanyahu,2020-2022
2020-12-13,41,Center District,netanyahu,2020-2022
2020-12-20,46,Center District,netanyahu,2020-2022
2020-12-27,33,Center District,netanyahu,2020-2022
2021-01-03,36,Center District,netanyahu,2020-2022
2021-01-10,45,Center District,netanyahu,2020-2022
2021-01-17,33,Center District,netanyahu,2020-2022
2021-01-24,33,Center District,netanyahu,2020-2022
2021-01-31,38,Center District,netanyahu,2020-2022
2021-02-07,43,Center District,netanyahu,2020-2022
2021-02-14,0,Center District,netanyahu,2020-2022
2021-02-21,0,Center District,netanyahu,2020-2022
2021-02-28,31,Center District,netanyahu,2020-2022
2021-03-07,35,Center District,netanyahu,2020-2022
2021-03-14,52,Center District,netanyahu,2020-2022
2021-03-21,82,Center District,netanyahu,2020-2022
2021-03-28,34,Center District,netanyahu,2020-2022
2021-04-04,45,Center District,netanyahu,2020-2022
2021-04-11,29,Center District,netanyahu,2020-2022
2021-04-18,25,Center District,netanyahu,2020-2022
2021-04-25,0,Center District,netanyahu,2020-2022
2021-05-02,43,Center District,netanyahu,2020-2022
2021-05-09,54,Center District,netanyahu,2020-2022
2021-05-16,46,Center District,netanyahu,2020-2022
2021-05-23,0,Center District,netanyahu,2020-2022
2021-05-30,82,Center District,netanyahu,2020-2022
2021-06-06,29,Center District,netanyahu,2020-2022
2021-06-13,100,Center District,netanyahu,2020-2022
2021-06-20,0,Center District,netanyahu,2020-2022
2021-06-27,0,Center District,netanyahu,2020-2022
2021-07-04,0,Center District,netanyahu,2020-2022
2021-07-11,0,Center District,netanyahu,2020-2022
2021-07-18,0,Center District,netanyahu,2020-2022
2021-07-25,0,Center District,netanyahu,2020-2022
2021-08-01,0,Center District,netanyahu,2020-2022
2021-08-08,0,Center District,netanyahu,2020-2022
2021-08-15,33,Center District,netanyahu,2020-2022
2021-08-22,0,Center District,netanyahu,2020-2022
2021-08-29,0,Center District,netanyahu,2020-2022
2021-09-05,0,Center District,netanyahu,2020-2022
2021-09-12,0,Center District,netanyahu,2020-2022
2021-09-19,0,Center District,netanyahu,2020-2022
2021-09-26,0,Center District,netanyahu,2020-2022
2021-10-03,0,Center District,netanyahu,2020-2022
2021-10-10,0,Center District,netanyahu,2020-2022
2021-10-17,0,Center District,netanyahu,2020-2022
2021-10-24,30,Center District,netanyahu,2020-2022
2021-10-31,0,Center District,netanyahu,2020-2022
2021-11-07,0,Center District,netanyahu,2020-2022
2021-11-14,0,Center District,netanyahu,2020-2022
2021-11-21,0,Center District,netanyahu,2020-2022
2021-11-28,0,Center District,netanyahu,2020-2022
2021-12-05,30,Center District,netanyahu,2020-2022
2021-12-12,0,Center District,netanyahu,2020-2022
2021-12-19,0,Center District,netanyahu,2020-2022
2021-12-26,0,Center District,netanyahu,2020-2022
2022-01-02,0,Center District,netanyahu,2020-2022
2022-01-09,0,Center District,netanyahu,2020-2022
2022-01-16,0,Center District,netanyahu,2020-2022
2022-01-23,0,Center District,netanyahu,2020-2022
2022-01-30,0,Center District,netanyahu,2020-2022
2022-02-06,0,Center District,netanyahu,2020-2022
2022-02-13,0,Center District,netanyahu,2020-2022
2022-02-20,0,Center District,netanyahu,2020-2022
2022-02-27,0,Center District,netanyahu,2020-2022
2022-03-06,0,Center District,netanyahu,2020-2022
2022-03-13,0,Center District,netanyahu,2020-2022
2022-03-20,0,Center District,netanyahu,2020-2022
2022-03-27,16,Center District,netanyahu,2020-2022
2022-04-03,0,Center District,netanyahu,2020-2022
2022-04-10,0,Center District,netanyahu,2020-2022
2022-04-17,0,Center District,netanyahu,2020-2022
2022-04-24,0,Center District,netanyahu,2020-2022
2022-05-01,0,Center District,netanyahu,2020-2022
2022-05-08,0,Center District,netanyahu,2020-2022
2022-05-15,0,Center District,netanyahu,2020-2022
2022-05-22,0,Center District,netanyahu,2020-2022
2022-05-29,0,Center District,netanyahu,2020-2022
2022-06-05,0,Center District,netanyahu,2020-2022
2022-06-12,0,Center District,netanyahu,2020-2022
2022-06-19,23,Center District,netanyahu,2020-2022
2022-06-26,0,Center District,netanyahu,2020-2022
2022-07-03,0,Center District,netanyahu,2020-2022
2022-07-10,0,Center District,netanyahu,2020-2022
2022-07-17,0,Center District,netanyahu,2020-2022
2022-07-24,0,Center District,netanyahu,2020-2022
2022-07-31,0,Center District,netanyahu,2020-2022
2022-08-07,0,Center District,netanyahu,2020-2022
2022-08-14,0,Center District,netanyahu,2020-2022
2022-08-21,19,Center District,netanyahu,2020-2022
2022-08-28,0,Center District,netanyahu,2020-2022
2022-09-04,19,Center District,netanyahu,2020-2022
2022-09-11,0,Center District,netanyahu,2020-2022
2022-09-18,0,Center District,netanyahu,2020-2022
2022-09-25,0,Center District,netanyahu,2020-2022
2022-10-02,29,Center District,netanyahu,2020-2022
2022-10-09,0,Center District,netanyahu,2020-2022
2022-10-16,23,Center District,netanyahu,2020-2022
2022-10-23,17,Center District,netanyahu,2020-2022
2022-10-30,76,Center District,netanyahu,2020-2022
2022-11-06,26,Center District,netanyahu,2020-2022
2022-11-13,0,Center District,netanyahu,2020-2022
2022-11-20,24,Center District,netanyahu,2020-2022
2022-11-27,24,Center District,netanyahu,2020-2022
2022-12-04,35,Center District,netanyahu,2020-2022
2022-12-11,18,Center District,netanyahu,2020-2022
2022-12-18,24,Center District,netanyahu,2020-2022
2022-12-25,48,Center District,netanyahu,2020-2022
2013-12-29,0,Center District,terrorism,2014-2016
2014-01-05,0,Center District,terrorism,2014-2016
2014-01-12,0,Center District,terrorism,2014-2016
2014-01-19,0,Center District,terrorism,2014-2016
2014-01-26,0,Center District,terrorism,2014-2016
2014-02-02,0,Center District,terrorism,2014-2016
2014-02-09,0,Center District,terrorism,2014-2016
2014-02-16,0,Center District,terrorism,2014-2016
2014-02-23,0,Center District,terrorism,2014-2016
2014-03-02,0,Center District,terrorism,2014-2016
2014-03-09,0,Center District,terrorism,2014-2016
2014-03-16,0,Center District,terrorism,2014-2016
2014-03-23,0,Center District,terrorism,2014-2016
2014-03-30,0,Center District,terrorism,2014-2016
2014-04-06,0,Center District,terrorism,2014-2016
2014-04-13,0,Center District,terrorism,2014-2016
2014-04-20,0,Center District,terrorism,2014-2016
2014-04-27,0,Center District,terrorism,2014-2016
2014-05-04,0,Center District,terrorism,2014-2016
2014-05-11,0,Center District,terrorism,2014-2016
2014-05-18,0,Center District,terrorism,2014-2016
2014-05-25,0,Center District,terrorism,2014-2016
2014-06-01,0,Center District,terrorism,2014-2016
2014-06-08,0,Center District,terrorism,2014-2016
2014-06-15,0,Center District,terrorism,2014-2016
2014-06-22,0,Center District,terrorism,2014-2016
2014-06-29,0,Center District,terrorism,2014-2016
2014-07-06,0,Center District,terrorism,2014-2016
2014-07-13,0,Center District,terrorism,2014-2016
2014-07-20,0,Center District,terrorism,2014-2016
2014-07-27,0,Center District,terrorism,2014-2016
2014-08-03,0,Center District,terrorism,2014-2016
2014-08-10,0,Center District,terrorism,2014-2016
2014-08-17,0,Center District,terrorism,2014-2016
2014-08-24,0,Center District,terrorism,2014-2016
2014-08-31,0,Center District,terrorism,2014-2016
2014-09-07,0,Center District,terrorism,2014-2016
2014-09-14,0,Center District,terrorism,2014-2016
2014-09-21,0,Center District,terrorism,2014-2016
2014-09-28,0,Center District,terrorism,2014-2016
2014-10-05,0,Center District,terrorism,2014-2016
2014-10-12,0,Center District,terrorism,2014-2016
2014-10-19,0,Center District,terrorism,2014-2016
2014-10-26,0,Center District,terrorism,2014-2016
2014-11-02,0,Center District,terrorism,2014-2016
2014-11-09,0,Center District,terrorism,2014-2016
2014-11-16,0,Center District,terrorism,2014-2016
2014-11-23,0,Center District,terrorism,2014-2016
2014-11-30,0,Center District,terrorism,2014-2016
2014-12-07,0,Center District,terrorism,2014-2016
2014-12-14,0,Center District,terrorism,2014-2016
2014-12-21,0,Center District,terrorism,2014-2016
2014-12-28,0,Center District,terrorism,2014-2016
2015-01-04,0,Center District,terrorism,2014-2016
2015-01-11,0,Center District,terrorism,2014-2016
2015-01-18,0,Center District,terrorism,2014-2016
2015-01-25,0,Center District,terrorism,2014-2016
2015-02-01,0,Center District,terrorism,2014-2016
2015-02-08,0,Center District,terrorism,2014-2016
2015-02-15,0,Center District,terrorism,2014-2016
2015-02-22,0,Center District,terrorism,2014-2016
2015-03-01,0,Center District,terrorism,2014-2016
2015-03-08,0,Center District,terrorism,2014-2016
2015-03-15,0,Center District,terrorism,2014-2016
2015-03-22,0,Center District,terrorism,2014-2016
2015-03-29,0,Center District,terrorism,2014-2016
2015-04-05,0,Center District,terrorism,2014-2016
2015-04-12,0,Center District,terrorism,2014-2016
2015-04-19,0,Center District,terrorism,2014-2016
2015-04-26,0,Center District,terrorism,2014-2016
2015-05-03,0,Center District,terrorism,2014-2016
2015-05-10,0,Center District,terrorism,2014-2016
2015-05-17,0,Center District,terrorism,2014-2016
2015-05-24,0,Center District,terrorism,2014-2016
2015-05-31,0,Center District,terrorism,2014-2016
2015-06-07,0,Center District,terrorism,2014-2016
2015-06-14,0,Center District,terrorism,2014-2016
2015-06-21,0,Center District,terrorism,2014-2016
2015-06-28,0,Center District,terrorism,2014-2016
2015-07-05,0,Center District,terrorism,2014-2016
2015-07-12,0,Center District,terrorism,2014-2016
2015-07-19,0,Center District,terrorism,2014-2016
2015-07-26,0,Center District,terrorism,2014-2016
2015-08-02,0,Center District,terrorism,2014-2016
2015-08-09,0,Center District,terrorism,2014-2016
2015-08-16,0,Center District,terrorism,2014-2016
2015-08-23,0,Center District,terrorism,2014-2016
2015-08-30,0,Center District,terrorism,2014-2016
2015-09-06,0,Center District,terrorism,2014-2016
2015-09-13,0,Center District,terrorism,2014-2016
2015-09-20,0,Center District,terrorism,2014-2016
