locality_code,sub_district,type_of_locality,local_authority_cluster,locality_name
0044,61,310,NA,ZOHAR
0584,61,330,620,ZIQIM
0788,43,310,NA,ZETAN
9300,32,160,320,
0799,11,310,NA,ZEKHARYA
1290,41,280,NA,ZEMER
1065,62,310,620,ZIMRAT
0816,11,310,NA,ZANOAH
2064,62,310,620,ZERU'A
0975,23,280,213,ZARZIR
0818,61,310,NA,ZERAHYA
0235,41,310,NA,
1110,23,350,213,HEVER
0717,42,310,410,HAGOR
3764,77,370,710,HAGGAY
0205,41,310,NA,HOGLA
0618,43,310,NA,HADID
4026,29,370,211,HAD-NES
6500,32,140,NA,HADERA
1321,31,450,310,KHAWALED
0986,25,460,NA,KHAWALED
0948,24,460,210,
0160,43,330,NA,HULDA
6600,53,140,NA,HOLON
1239,62,330,620,HOLIT
0253,21,330,211,HULATA
0662,24,310,212,HOSEN
1332,24,450,210,HUSSNIYYA
0115,41,350,NA,HOFIT
0374,22,330,214,HUQOQ
1303,62,260,610,HURA
0496,24,280,212,HURFEISH
0355,42,330,410,HORESHIM
1047,21,310,211,HAZON
0219,41,310,NA,
3643,71,370,710,HINNANIT
4000,31,130,NA,HAIFA
0162,41,310,410,HERUT
1272,24,370,210,HALUZ
0820,61,310,620,HELEZ
0801,43,310,NA,HEMED
0993,22,450,214,HAMAM
0343,23,330,214,HAMADYA
3646,75,370,710,HEMDAT
3609,75,310,710,HAMRA
0807,41,310,NA,HANNI'EL
0280,24,330,212,HANITA
1257,23,330,213,HANNATON
4005,29,370,211,HASPIN
0363,44,330,420,
0090,23,330,213,HEFZI-BAH
0700,61,310,420,HAZAV
0013,62,310,610,HAZEVA
2034,21,170,211,
0406,61,330,420,
0397,62,330,620,HAZERIM
0422,41,310,NA,HEREV LE'ET
1024,41,350,NA,HARUZIM
1247,32,160,NA,HARISH
3717,71,370,710,HERMESH
1209,24,370,210,HARASHIM
3770,74,190,710,HASHMONA'IM
6700,22,150,214,TIBERIAS
0962,21,280,211,
0498,25,270,214,TUR'AN
2730,41,260,410,TAYIBE
0497,23,290,213,
2720,41,260,410,TIRE
0663,42,310,NA,
2100,31,160,310,
0268,23,330,214,TIRAT ZEVI
0462,11,310,NA,TAL SHAHAR
1181,24,370,210,TAL-EL
1177,62,330,610,TELALIM
3788,74,180,710,TALMON
8900,24,260,310,TAMRA
0547,23,450,213,
3743,77,370,710,TENE
1214,21,310,211,TEFAHOT
1295,24,280,NA,YANUH-JAT
1232,62,310,620,YEVUL
0046,22,190,214,YAVNE'EL
2660,44,150,NA,YAVNE
0096,31,330,310,YAGUR
0798,43,310,NA,YAGEL
0577,44,190,420,
1134,11,320,NA,
0758,41,330,NA,YAD HANNA
0358,61,330,620,
0775,61,310,NA,YAD NATAN
0064,43,310,NA,YAD RAMBAM
1144,11,340,NA,YEDIDA
9400,42,160,NA,
1158,62,330,610,YAHEL
2009,21,310,211,YUVAL
1226,24,370,210,YUVALLIM
1112,24,320,210,YODEFAT
4007,29,320,211,YONATAN
0803,62,310,620,YOSHIVYA
0452,23,330,213,YIZRE'EL
0409,24,330,212,YEHI'AM
0866,62,330,610,YOTVATA
3607,75,320,710,YITAV
0811,61,310,620,YAKHINI
0753,41,310,410,YANUV
2011,61,310,420,YINNON
0029,21,350,211,
0440,44,320,420,YESODOT
0575,24,330,212,YAS'UR
1138,24,310,210,YA'AD
1117,23,510,213,YA'EL
1044,41,350,410,YE'AF
0795,24,310,212,YA'ARA
0499,25,270,213,YAFI
3566,75,310,710,YAFIT
0134,23,330,213,YIF'AT
0453,21,330,211,YIFTAH
3749,72,190,710,YIZHAR
0759,43,310,NA,YAZIZ
0417,41,330,NA,YAQUM
3647,73,190,710,YAQIR
0241,23,310,213,
0240,23,160,310,
0623,24,330,211,YIR'ON
2026,23,310,214,YARDENA
0831,62,170,610,YEROHAM
3000,11,120,NA,JERUSALEM
0718,42,310,410,YARHIV
0502,24,270,212,YIRKA
0183,42,310,410,YARQONA
0916,62,310,620,YESHA
0805,11,310,NA,YISH'I
0828,43,310,NA,YASHRESH
1227,62,310,620,YATED
0504,24,270,310,KABUL
0505,24,290,NA,
0576,24,330,212,KABRI
0371,22,340,214,KADOORIE
1338,21,370,211,KADDITA
3564,74,190,710,
1224,42,180,410,KOKHAV YA'IR
3779,74,190,710,
0824,61,310,620,
1252,21,350,211,KORAZIM
1210,21,310,211,KAHAL
1367,62,450,610,KOCHLEA
0840,62,330,620,KISSUFIM
1153,24,330,210,KISHOR
1183,24,370,212,KELIL
1229,21,310,211,KALLANIT
1331,24,450,210,KAMANE
1291,62,310,610,KEMEHIN
1201,24,370,210,KAMMON
2006,61,340,420,KANNOT
4028,29,310,211,KANAF
0063,22,350,214,
0057,22,330,214,
1059,62,260,610,KUSEIFE
0859,11,310,NA,KESALON
1296,24,280,NA,KISRA-SUMEI
0978,25,280,213,TABBASH-
0857,44,310,NA,KEFAR AVIV
3638,74,180,710,
0364,11,310,NA,
0690,61,310,420,KEFAR AHIM
0220,31,310,310,KEFAR BIALIK
0177,44,310,NA,KEFAR BILU
0357,21,330,211,KEFAR BLUM
2010,43,310,NA,
0633,42,290,410,KAFAR BARA
0132,23,310,213,
0106,23,310,213,KEFAR GID'ON
0427,32,340,320,
0310,32,330,320,
0076,21,330,211,KEFAR GIL'ADI
0707,43,320,NA,
3796,74,190,710,
0192,23,330,213,
0254,31,330,310,
0582,44,310,NA,
0890,31,340,310,HANO'AR
0443,21,330,211,
0187,41,310,410,KEFAR HESS
0217,41,310,NA,
0888,61,310,420,KEFAR HARIF
0190,41,191,NA,KEFAR VITKIN
0320,61,310,420,
1263,24,180,212,
1325,11,340,NA,
0786,22,310,214,KEFAR ZETIM
0696,43,180,NA,KEFAR HABAD
0609,21,310,211,
0255,22,320,214,KEFAR HITTIM
0193,41,310,NA,
1297,21,370,211,
0112,31,310,310,
0889,31,350,310,
4004,29,330,211,KEFAR HARUV
0673,43,310,NA,
0507,24,270,212,KAFAR YASIF
0233,41,310,NA,
0140,23,310,213,
0168,41,160,410,KEFAR YONA
0085,23,310,213,
0170,41,310,410,KEFAR YA'BEZ
0508,22,290,214,KAFAR KAMA
0509,25,260,213,KAFAR KANNA
0387,41,310,NA,
1095,62,310,620,
0098,42,310,410,KEFAR MALAL
0510,24,260,NA,
0274,61,330,420,
0297,24,330,212,
0512,25,290,213,KAFAR MISR
0764,44,310,NA,
0316,41,310,NA,
0345,21,330,211,KEFAR SZOLD
6900,42,150,410,KEFAR SAVA
0107,61,340,620,
0249,42,310,410,KEFAR SIRKIN
0875,41,340,410,KEFAR AVODA
0845,61,330,620,KEFAR AZZA
3488,76,330,NA,KEFAR EZYON
0189,32,310,320,KEFAR PINES
0634,42,260,410,
0388,22,310,214,KEFAR KISCH
0654,32,260,320,KAFAR QARA
0579,24,330,212,
1130,24,310,212,ROZENWALD
0295,23,330,214,
1166,43,310,NA,KEFAR RUT
0605,21,310,211,
0743,43,310,NA,
0267,51,350,NA,
0047,22,190,214,KEFAR TAVOR
3572,73,370,710,
1285,21,370,211,KARKOM
1094,44,340,420,
0664,21,310,211,
0088,43,350,NA,
0580,32,310,320,
1085,62,330,620,
1264,43,350,NA,
3766,77,370,NA,KARME ZUR
1374,61,370,NA,KARME KATIF
1139,24,160,210,KARMI'EL
0768,61,330,620,KARMIYYA
1198,62,330,620,KERAMIM
3656,77,320,710,KARMEL
1207,24,350,210,LAVON
0585,22,330,214,LAVI
1230,21,310,211,LIVNIM
2023,62,330,620,LAHAV
0380,21,330,211,
0715,32,330,320,
1271,62,180,NA,LEHAVIM
7000,43,150,NA,LOD
0052,11,310,NA,LUZIT
0595,24,330,212,
1171,24,330,210,LOTEM
1255,62,330,610,LOTAN
0674,24,310,212,LIMAN
0024,61,310,NA,LAKHISH
1310,43,190,NA,LAPPID
1173,24,310,212,LAPPIDOT
1060,62,270,620,LAQYE
2055,32,310,320,MA'OR
0102,32,340,320,
0771,11,320,NA,MEVO BETAR
3569,71,370,710,MEVO DOTAN
3709,74,192,710,MEVO HORON
4204,29,330,211,MEVO HAMMA
1141,43,370,NA,MEVO MODI'IM
1318,41,340,NA,MEVO'OT YAM
3825,75,370,710,
1080,62,350,620,MABBU'IM
0829,62,310,620,MIVTAHIM
0573,61,310,620,MAVQI'IM
1015,11,160,NA,
0481,22,260,214,MUGHAR
0516,24,270,210,
0689,32,310,320,MEGADIM
0065,22,190,214,MIGDAL
0874,23,160,213,
3561,76,330,NA,MIGDAL OZ
4201,29,270,211,
3751,72,370,710,MIGDALIM
0586,23,330,213,MEGIDDO
0375,32,330,320,MAGGAL
0695,62,330,620,MAGEN
1155,23,310,213,
0722,42,310,410,MAGSHIMIM
2029,23,310,213,MIDRAKH OZ
1140,62,350,610,
0897,41,340,NA,
3797,74,150,710,MODI'IN ILLIT
1200,43,140,NA,MAKKABBIM-
0269,23,320,213,MOLEDET
0208,11,350,NA,MOZA ILLIT
0635,23,290,213,MUQEIBLE
1163,24,330,210,MORAN
1178,24,370,210,MORESHET
0606,42,310,NA,MAZOR
0028,44,170,420,
0104,23,330,213,MIZRA
0517,24,290,212,MAZRA'A
3599,75,310,710,MEHOLA
1411,44,510,NA,
1418,62,510,610,MAHANE TALI
1413,23,510,213,
1416,62,510,610,
1415,62,510,620,
1196,62,350,NA,
1414,61,510,420,
1412,44,510,420,
0308,21,330,211,MAHANAYIM
0776,11,310,NA,MAHSEYA
0043,21,190,211,METULA
0822,11,310,NA,MATTA
1128,32,320,320,ME AMMI
2054,23,310,213,METAV
1154,23,340,214,METAL
0649,32,450,320,MEISER
4019,29,310,211,MEZAR
1282,23,330,214,MERAV
0607,21,310,211,MERON
0731,44,310,NA,MESHAR
1268,62,170,610,METAR
3614,75,310,710,MEKHORA
1343,62,290,610,MAKCHUL
0382,41,310,NA,MIKHMORET
1202,24,370,210,MIKHMANNIM
0164,23,310,213,MELE'A
2044,62,310,620,MELILOT
0596,21,330,211,MALKIYYA
2030,61,310,NA,MENUHA
1174,24,310,210,MANOF
1205,24,310,212,MANOT
0048,23,350,214,MENAHEMYA
0347,21,330,211,MENARA
0994,25,450,213,
1258,22,370,214,MASSAD
0263,22,330,214,MASSADA
0298,23,330,214,MESILLOT
0742,11,310,NA,
0748,62,310,620,MASLUL
4203,29,290,211,MAS'ADE
0939,62,460,NA,
0197,41,330,NA,MA'BAROT
1082,62,370,620,MA'GALIM
0678,22,330,214,MA'AGAN
0694,32,193,320,
0272,23,330,214,
3657,77,320,710,MA'ON
0570,24,310,212,ME'ONA
0416,21,330,211,
0290,32,330,320,MA'YAN ZEVI
0518,24,290,212,MI'ELYA
3616,76,160,710,
3608,75,350,NA,
1127,23,330,214,
4008,29,310,211,
0286,11,330,NA,
3752,74,370,710,
3651,74,190,710,
1327,32,270,NA,MA'ALE IRON
3653,76,370,NA,MA'ALE AMOS
1063,24,160,212,
0344,32,330,320,MA'ANIT
0230,42,310,410,MA'AS
0668,61,330,620,MEFALLESIM
0325,24,330,212,MAZZUVA
0757,43,310,NA,MAZLIAH
0058,22,350,214,MIZPA
1222,24,370,210,MIZPE AVIV
1370,32,370,320,MITSPE ILAN
3576,75,190,710,
1190,23,370,214,
0099,62,180,610,MIZPE RAMON
3610,75,330,710,
0648,32,330,320,MEZER
0022,53,340,NA,
0843,21,310,211,
4101,29,330,211,
1340,62,370,610,MERHAV AM
0097,23,310,213,
0066,23,330,213,
1098,61,190,NA,
0421,62,330,610,
0765,44,310,NA,MISGAV DOV
0378,21,330,211,MISGAV AM
0520,25,280,213,MESHHED
3605,75,310,710,MASSU'A
0620,61,320,NA,
3785,75,370,710,MASKIYYOT
0670,43,310,NA,
0563,43,330,NA,
0732,21,310,211,
0395,62,330,620,
0130,23,330,213,
0729,43,310,NA,
0194,41,330,NA,
3865,76,510,NA,
0213,32,330,320,MISHMAROT
0425,41,310,410,MISHMERET
0791,61,310,620,MASH'EN
1315,42,190,410,MATTAN
1184,24,370,212,MATTAT
3648,74,320,710,MATTITYAHU
4551,29,310,211,NE'OT GOLAN
1124,62,310,NA,
0408,21,330,211,
1197,62,330,610,
0524,23,290,213,NA'URA
0396,62,310,620,NEVATIM
0315,61,330,420,NEGBA
3724,77,370,710,NEGOHOT
0309,61,350,NA,NEHORA
0080,23,310,213,NAHALAL
9100,24,150,212,NAHARIYYA
4304,29,310,211,NOV
0055,61,310,NA,NOGAH
1366,62,310,620,NAVE
0926,32,340,NA,NEWE AVOT
0590,23,330,214,NEWE UR
4303,29,310,211,NEWE ATIV
0405,11,320,NA,NEWE ILAN
0296,23,330,214,NEWE ETAN
3725,76,190,NA,
1057,62,350,NA,NEWE ZOHAR
1314,24,370,212,NEWE ZIV
1279,62,330,610,NEWE HARIF
0312,32,330,320,NEWE YAM
0686,42,310,410,NEWE YAMIN
0858,42,310,410,NEWE YARAQ
0827,61,310,420,NEWE MIVTAH
1071,11,310,NA,
3573,74,370,710,NEVE TSUF
1259,11,350,NA,
0015,61,310,NA,NO'AM
1333,43,370,NA,NOF AYYALON
1061,25,160,213,NOF HAGALIL
3790,73,350,710,NOFIM
1284,31,190,310,NOFIT
0257,42,370,NA,NOFEKH
3726,76,190,NA,NOQEDIM
0447,41,192,410,NORDIYYA
0833,23,370,213,NURIT
0059,11,310,NA,NEHUSHA
0844,61,330,620,NAHAL OZ
2045,61,310,420,NAHALA
3767,74,370,710,NAHALI'EL
0449,42,310,NA,NEHALIM
0809,11,310,NA,NAHAM
0522,24,270,210,NAHEF
0433,32,330,320,NAHSHOLIM
0777,11,330,NA,NAHSHON
0705,42,330,410,NAHSHONIM
1147,24,310,212,NETU'A
4014,29,310,211,NATUR
1369,61,370,NA,NETA
0174,44,310,NA,NETA'IM
1254,11,370,NA,NATAF
0523,23,290,213,NEIN
3655,74,190,710,NILI
0351,61,190,620,NIZZAN
1419,61,350,620,NIZZAN B
1195,62,340,610,
1280,62,310,610,
0851,41,310,410,NIZZANE OZ
0359,61,330,620,NIZZANIM
0808,42,330,410,NIR ELIYYAHU
0553,61,310,420,NIR BANIM
0720,44,320,420,NIR GALLIM
0256,23,330,214,
0011,61,310,NA,NIR HEN
0165,23,310,213,NIR YAFE
0402,62,330,620,NIR YIZHAQ
0699,61,310,620,NIR YISRA'EL
2047,62,310,620,NIR MOSHE
0069,62,330,620,NIR OZ
0348,61,330,620,NIR AM
0769,32,320,320,NIR EZYON
2048,62,310,620,NIR AQIVA
0331,43,310,NA,NIR ZEVI
0602,62,330,620,NIRIM
1236,42,370,410,NIRIT
4035,29,510,211,NIMROD
0825,11,310,NA,NES HARIM
1143,24,350,212,NES AMMIM
7200,44,160,NA,NES ZIYYONA
0186,41,340,NA,NE'URIM
3787,74,190,710,NA'ALE
3713,75,310,710,NA'AMA
0158,43,330,NA,NA'AN
3620,75,330,710,NA'ARAN
1041,62,460,NA,NASASRA
1372,44,310,420,
0435,43,330,NA,
7300,25,250,213,NAZARETH
2500,31,160,310,NESHER
3555,75,310,710,
0693,11,330,NA,
1242,61,310,620,
0792,24,310,212,
0246,62,150,620,NETIVOT
7400,41,130,NA,NETANYA
0525,24,290,210,SAJUR
0578,24,330,211,SASA
0587,42,190,NA,SAVYON
2046,61,310,420,SEGULLA
0942,25,450,213,
0989,24,460,NA,
0526,23,290,213,SULAM
3756,77,370,710,SUSEYA
1238,62,330,620,SUFA
7500,24,260,NA,SAKHNIN
1170,62,460,NA,SAYYID
1245,24,290,210,SALLAMA
3567,73,310,710,SAL'IT
1156,62,330,610,SAMAR
3777,77,370,710,SANSANA
0419,62,330,620,SA'AD
1360,62,280,610,SA'WA
0454,24,330,212,SA'AR
1176,62,350,610,SAPPIR
