"","location"
"159","אל+ולידי+Israel"
"160","אלומה+Israel"
"161","אלומות+Israel"
"162","אלון+Israel"
"163","אלון+הגליל+Israel"
"164","אלוני+אבא+Israel"
"165","אלוני+הבשן+Israel"
"166","אלוני+יצחק+Israel"
"167","אלונים+Israel"
"168","אלון+מורה+Israel"
"169","אלון+שבות+Israel"
"170","אל+חדב+Israel"
"171","אל+ח’דר+Israel"
"172","אל+ח’וואלד+מערב+Israel"
"173","אל+חוקוק+Israel"
"174","אל+חמידי+Israel"
"175","אליאב+Israel"
"176","אליכין+Israel"
"177","אלי-עד+Israel"
"178","אליפז+Israel"
"179","אליפלט+Israel"
"180","אליקים+Israel"
"181","אלישיב+Israel"
"182","אלישמע+Israel"
"183","אל+כלאב+Israel"
"184","אל+מאג’ור+Israel"
"185","אלמגור+Israel"
"186","אלמוג+Israel"
"187","אל+מודוור+Israel"
"188","אל+מועלקה+Israel"
"189","אל+מחד’י+צפונית+לדימונה+Israel"
"190","אל+מראג’ם+Israel"
"191","אל+סייד+Israel"
"192","+אל-סייד+והפזורה+Israel"
"193","אל+עביד+Israel"
"194","אלעד+Israel"
"195","אל+ע’ול+צפונית+לדימונה+Israel"
"196","אל+עזי+Israel"
"197","אלעזר+Israel"
"198","אל+עטאונה+Israel"
"199","אל+עלקה+אל+פוקא+Israel"
"200","אל+עמראני+דרום+מערב+לדימונה+Israel"
"201","אל+ערוב+Israel"
"202","אל-עריאן+Israel"
"203","אל+עתאיקה+Israel"
"204","אל+עת’אמין+Israel"
"205","אל+פוואר+Israel"
"206","אל+פונדוק+Israel"
"207","אל+פורעה+Israel"
"208","אלפי+מנשה+Israel"
"209","אל+קוסור+Israel"
"210","אל+קורעאן+ב+Israel"
"211","אלקוש+Israel"
"212","אל+קילא+Israel"
"213","אלקנה+Israel"
"214","אל+קרישי+Israel"
"215","אל+קרעאן+Israel"
"216","אל+קרעאן+דרומית+לערד+Israel"
"217","אל+קשכר+Israel"
"218","אל-רום+Israel"
"219","אמונים+Israel"
"220","אמירים+Israel"
"221","אמנון+Israel"
"222","אמציה+Israel"
"223","א+נבארי+Israel"
"224","א+נוואקיר+Israel"
"225","אניעם+Israel"
"226","א+סייד+Israel"
"227","א+סלבה+Israel"
"228","אספר+Israel"
"229","אעבלין+Israel"
"230","אעצם+Israel"
"231","אפיניש+Israel"
"232","אפיק+Israel"
"233","אפיקים+Israel"
"234","אפק+Israel"
"235","אפרת+Israel"
"236","אפרתה+Israel"
"237","א+ראם+Israel"
"238","א+ראס+Israel"
"239","ארבל+Israel"
"240","ארגמן+Israel"
"241","ארז+Israel"
"242","ארטאס+Israel"
"243","אריאל+Israel"
"244","א+ריחייה+Israel"
"245","ארסוף+Israel"
"246","ארצי-היכנסו+למרחב+מוגן+Israel"
"247","אשבול+Israel"
"248","אשבל+Israel"
"249","אשדוד+Israel"
"250","אשדות+יעקב++(איחוד)+Israel"
"251","אשדות+יעקב++(מאוחד)+Israel"
"252","א+שויוח+Israel"
"253","אשחר+Israel"
"254","א+שייח’+אחמד+Israel"
"255","אשכולות+Israel"
"256","אשל+הנשיא+Israel"
"257","אשלים+Israel"
"258","אשקלון+Israel"
"259","אשקלון+-+דרום+Israel"
"260","אשקלון+-+צפון+Israel"
"261","אשרת+Israel"
"262","אשתאול+Israel"
"263","א.ת+אשקלון+Israel"
"264","אתגר+Israel"
"265","אתר+דודאים+Israel"
"266","באקה+Israel"
"267","באקה+אל+גרבייה+Israel"
"268","באקה+אל+ע’רביה+Israel"
"269","באקה+ג’ת+Israel"
"270","באר+אורה+Israel"
"271","באר+גנים+Israel"
"272","בארותיים+Israel"
"273","בארות+יצחק+Israel"
"274","באר+טוביה+Israel"
"275","בארי+Israel"
"276","באר+יעקב+Israel"
"277","באר+מילכה+Israel"
"278","באר+שבע+Israel"
"279","באר+שבע+-+דרום+Israel"
"280","באר+שבע+-+מזרח+Israel"
"281","באר+שבע+-+מערב+Israel"
"282","באר+שבע+-+צפון+Israel"
"283","בד+פלוח+Israel"
"284","בודרוס+Israel"
"285","בווידיעה+Israel"
"286","בוסתן+הגליל+Israel"
"287","בועיינה-נוג'ידאת+Israel"
"288","בועיינה+נוג’יידאת+Israel"
"289","בוקעתא+Israel"
"290","בורג’+Israel"
"291","בורגתה+Israel"
"292","בורהאם+Israel"
"293","בורוקין+Israel"
"294","בורין+Israel"
"295","בורקה+Israel"
"296","בורקין+Israel"
"297","בחן+Israel"
"298","בטחה+Israel"
"299","ביאדה+בהר+חברון+Israel"
"300","בידו+Israel"
"301","בידיה+Israel"
"302","ביכורה+Israel"
"303","בילעין+Israel"
"304","ביענה+Israel"
"305","ביצרון+Israel"
"306","ביר+אבו+אל+חמאם+Israel"
"307","ביר+אל-מכסור+Israel"
"308","ביר+הדאג'+Israel"
"309","ביר+זית+Israel"
"310","ביריה+Israel"
"311","ביר+נבאלה+Israel"
"312","בית+א+אל+פוקא+Israel"
"313","ביתא+א+תחתא+Israel"
"314","בית+אולא+Israel"
"315","בית+אומר+Israel"
"316","בית+אורן+Israel"
"317","בית+איבא+Israel"
"318","בית+איג’זא+Israel"
"319","בית+איכסא+Israel"
"320","בית+איענאן+Israel"
"321","בית+אל+Israel"
"322","בית+אלעזרי+Israel"
"323","בית+אלפא+Israel"
"324","בית+אמין+Israel"
"325","בית+א+רוש+אל+פוקא+Israel"
"326","בית+אריה+Israel"
"327","בית+ברל+Israel"
"328","בית+גוברין+Israel"
"329","בית+ג’מאל+Israel"
"330","בית+גמליאל+Israel"
"331","בית+ג'ן+Israel"
"332","בית+דגן+Israel"
"333","בית+דוקו+Israel"
"334","בית+הגדי+Israel"
"335","בית+הלוי+Israel"
"336","בית+הלל+Israel"
"337","בית+העמק+Israel"
"338","בית+הערבה+Israel"
"339","בית+השיטה+Israel"
"340","בית+וזן+Israel"
"341","ביתוניא+Israel"
"342","בית+זיד+Israel"
"343","בית+זית+Israel"
"344","בית+זרע+Israel"
"345","בית+חורון+Israel"
"346","בית+חזון+Israel"
"347","בית+חלקיה+Israel"
"348","בית+חנינא+Israel"
"349","בית+חנן+Israel"
"350","בית+חנניה+Israel"
"351","בית+חרות+Israel"
"352","בית+חשמונאי+Israel"
"353","בית+יהושע+Israel"
"354","בית+יוסף+Israel"
"355","ביתילו+Israel"
"356","ביתין+Israel"
"357","בית+ינאי+Israel"
"358","בית+יצחק-שער+חפר+Israel"
"359","בית+ירח+Israel"
"360","בית+כאחיל+Israel"
"361","בית+לחם+הגלילית+Israel"
"362","בית+ליד+Israel"
"363","בית+ליקיא+Israel"
"364","בית+מאיר+Israel"
"365","בית+מירסים+Israel"
"366","ביתן+אהרן+Israel"
"367","בית+נחמיה+Israel"
"368","בית+ניר+Israel"
"369","בית+נקופה+Israel"
"370","בית+סוהר+השרון+Israel"
"371","בית+סוהר+מגידו+Israel"
"372","בית+סוריכ+Israel"
"373","בית+סירא+Israel"
"374","בית+סכריא+Israel"
"375","בית+ספר+אורט+בנימינה+Israel"
"376","בית+ספר+שדה+מירון+Israel"
"377","בית+עובד+Israel"
"378","בית+עוזיאל+Israel"
"379","בית+ע’ור+אל+פוקא+Israel"
"380","בית+ע’ור+א+תחתא+Israel"
"381","בית+עזרא+Israel"
"382","בית+עינון+Israel"
"383","בית+עלמין+תל+רגב+Israel"
"384","בית+עמרה+Israel"
"385","בית+עריף+Israel"
"386","בית+פג’אר+Israel"
"387","בית+פוריכ+Israel"
"388","בית+צבי+Israel"
"389","בית+קמה+Israel"
"390","בית+קשת+Israel"
"391","בית+רבן+Israel"
"392","בית+רחאל+Israel"
"393","בית+רימא+Israel"
"394","בית+רימון+Israel"
"395","ביתר+עילית+Israel"
"396","בית+שאן+Israel"
"397","בית+שיקמה+Israel"
"398","בית+שמש+Israel"
"399","בית+שערים+Israel"
"400","בית+שקמה+Israel"
"401","בית+תעמר+Israel"
"402","בלאטה+Israel"
"403","בלפוריה+Israel"
"404","בן+זכאי+Israel"
"405","בני+ברק+Israel"
"406","בני+דקלים+Israel"
"407","בני+דרום+Israel"
"408","בני+דרור+Israel"
"409","בניה+Israel"
"410","בני+יהודה+Israel"
"411","בני+יהודה+וגבעת+יואב+Israel"
"412","בנימינה+Israel"
"413","בנימינה-גבעת+עדה+Israel"
"414","בני+נעים+Israel"
"415","בני+נצרים+Israel"
"416","בני+עטרות+Israel"
"417","בני+עי""ש+Israel"
"418","בני+ציון+Israel"
"419","בני+ראם+Israel"
"420","בן+עמי+Israel"
"421","בן+שמן+Israel"
"422","בן+שמן+(כפר+נוער)+Israel"
"423","בסמ""ה+Israel"
"424","בסמת+טבעון+Israel"
"425","בצרה+Israel"
"426","בצת+Israel"
"427","בקוע+Israel"
"428","בקעות+Israel"
"429","בר+גיורא+Israel"
"430","ברדלה+Israel"
"431","ברד’עה+Israel"
"432","ברוכין+Israel"
"433","ברור+חיל+Israel"
"434","ברורים+Israel"
"435","ברוש+Israel"
"436","ברטעה+Israel"
"437","בר+יוחאי+Israel"
"438","ברכה+Israel"
"439","ברכיה+Israel"
"440","ברעם+Israel"
"441","ברק+Israel"
"442","ברקאי+Israel"
"443","ברקן+Israel"
"444","ברקת+Israel"
"445","בת+הדר+Israel"
"446","בת+חן+Israel"
"447","בת+חפר+Israel"
"448","בת+ים+Israel"
"449","בתיר+Israel"
"450","בת+עין+Israel"
"451","בת+שלמה+Israel"
"452","גאולים+Israel"
"453","גאולי+תימן+Israel"
"454","ג’אלא+Israel"
"455","ג’אלוד+Israel"
"456","גאליה+Israel"
"457","ג’אניה+Israel"
"458","גבולות+Israel"
"459","גבים+Israel"
"460","גבע+Israel"
"461","גבע+בנימין+Israel"
"462","ג’בעה+Israel"
"463","גבעולים+Israel"
"464","גבעון+החדשה+Israel"
"465","גבעות+Israel"
"466","גבעות+בר+Israel"
"467","גבעות+עדן+Israel"
"468","גבע+כרמל+Israel"
"469","ג’בע+מצפון+לירושלים+Israel"
"470","גבעת+אבני+Israel"
"471","גבעת+אלה+Israel"
"472","גבעת+אסף+Israel"
"473","גבעת+ברנר+Israel"
"474","גבעת+השלושה+Israel"
"475","גבעת+וולפסון+Israel"
"476","גבעת+וושינגטון+Israel"
"477","גבעת+זאב+Israel"
"478","גבעת+חביבה+Israel"
"479","גבעת+חיים+(איחוד)+Israel"
"480","גבעת+חיים+(מאוחד)+Israel"
"481","גבעת+ח""ן+Israel"
"482","גבעתי+Israel"
"483","גבעת+יואב+Israel"
"484","גבעתיים+Israel"
"485","גבעת+יערים+Israel"
"486","גבעת+ישעיהו+Israel"
"487","גבעת+כ""ח+Israel"
"488","גבעת+ניל""י+Israel"
"489","גבעת+סנה+יעקב+Israel"
"490","גבעת+עדה+Israel"
"491","גבעת+עוז+Israel"
"492","גבעת+שמואל+Israel"
"493","גבעת+שמש+Israel"
"494","גבעת+שפירא+Israel"
"495","גברעם+Israel"
"496","גבת+Israel"
"497","גדות+Israel"
"498","ג’דידה+מכר+Israel"
"499","גדיש+Israel"
"500","גדעונה+Israel"
"501","גדרה+Israel"
"502","ג’האלין+Israel"
"503","ג’וב+א+רום+Israel"
"504","ג’ודירה+Israel"
"505","ג’והזם+Israel"
"506","ג’וליס+Israel"
"507","גולן+4+Israel"
"508","ג’וניד+Israel"
"509","גונן+Israel"
"510","ג’ועארה+Israel"
"511","ג’ורדיח+Israel"
"512","ג’וריש+Israel"
"513","גורן+Israel"
"514","גורנות+הגליל+Israel"
"515","ג’ורת+א+שמעה+Israel"
"516","גזית+Israel"
"517","גזר+Israel"
"518","גיאה+Israel"
"519","ג’יב+Israel"
"520","ג’יביא+Israel"
"521","גיבתון+Israel"
"522","ג’יוס+Israel"
"523","גיזו+Israel"
"524","ג’ילג’יליא+Israel"
"525","גילון+Israel"
"526","גילת+Israel"
"527","גינוסר+Israel"
"528","גיניגר+Israel"
"529","ג’ינסאפוט+Israel"
"530","גינתון+Israel"
"531","ג’יש+Israel"
"532","ג’ית+Israel"
"533","גיתה+Israel"
"534","גיתית+Israel"
"535","גלאון+Israel"
"536","ג'לג'וליה+Israel"
"537","גלגל+Israel"
"538","ג’לזון+Israel"
"539","גליל+ים+Israel"
"540","גלעד+Israel"
"541","ג’מאלא+Israel"
"542","ג’מאעין+Israel"
"543","גמזו+Israel"
"544","ג’נאביב+Israel"
"545","גן+הדרום+Israel"
"546","גן+השומרון+Israel"
"547","גנות+Israel"
"548","גנות+הדר+Israel"
"549","גן+חיים+Israel"
"550","גן+יאשיה+Israel"
"551","גן+יבנה+Israel"
"552","גניגר+Israel"
"553","גני+הדר+Israel"
"554","גני+טל+Israel"
"555","גני+יוחנן+Israel"
"556","גני+עם+Israel"
"557","גני+תקווה+Israel"
"558","גן+נר+Israel"
"559","גן+שורק+Israel"
"560","גן+שלמה+Israel"
"561","גן+שמואל+Israel"
"562","ג'סר+א-זרקא+Israel"
"563","געש+Israel"
"564","געתון+Israel"
"565","גפן+Israel"
"566","ג’פנא+Israel"
"567","ג’רון+א+לוז+Israel"
"568","גרופית+Israel"
"569","ג'ש+(גוש+חלב)+Israel"
"570","גשור+Israel"
"571","גשר+Israel"
"572","גשר+הזיו+Israel"
"573","גת+רימון+Israel"
"574","דאלית+אל-כרמל+Israel"
"575","דאר+אל+חנון+Israel"
"576","דבורה+Israel"
"577","דבוריה+Israel"
"578","דבירה+Israel"
"579","דברת+Israel"
"580","דגניה+א'+Israel"
"581","דגניה+ב'+Israel"
"582","דהיישה+מחנה+פליטים+Israel"
"583","ד’הר+אל+עבד+Israel"
"584","ד’הר+חלת+אל+ג’אמיע+Israel"
"585","דהרייה+Israel"
"586","דוב""ב+Israel"
"587","דולב+Israel"
"588","דומא+Israel"
"589","דומא+במרכז+שומרון+Israel"
"590","דור+Israel"
"591","דורא+Israel"
"592","דורא+אל+קריע+Israel"
"593","דורות+Israel"
"594","דחי+Israel"
"595","דייר+אל-אסד+Israel"
"596","דייר+חנא+Israel"
"597","דייר+ראפאת+Israel"
"598","דימונה+Israel"
"599","דיר+אבו+משעל+Israel"
"600","דיר+איבזיע+Israel"
"601","דיר+איסתיא+Israel"
"602","דיר+אל+חטב+Israel"
"603","דיר+א+סודאן+Israel"
"604","דיר+בלוט+Israel"
"605","דיר+ג’ריר+Israel"
"606","דיר+דיבוואן+Israel"
"607","דיר+כרמיזן+Israel"
"608","דיר+ניזאם+Israel"
"609","דיר+סאמת+Israel"
"610","דיר+עמאר+Israel"
"611","דיר+ע’סאנה+Israel"
"612","דיר+קדיס+Israel"
"613","דיר+ראזח+Israel"
"614","דיר+שרף+Israel"
"615","דישון+Israel"
"616","דליה+Israel"
"617","דלית+אל+כרמל+Israel"
"618","דלתון+Israel"
"619","דמיידה+Israel"
"620","דן+158+דרום+תל+אביב+Israel"
"621","דניאל+Israel"
"622","דן+159+מזרח+תל+אביב+Israel"
"623","דן+156+צפון+תל+אביב+Israel"
"624","דפנה+Israel"
"625","דקל+Israel"
"626","דרום+השפלה+187+Israel"
"627","דריג'את+Israel"
"628","האון+Israel"
"629","האשימיה+Israel"
"630","הבונים+Israel"
"631","הגושרים+Israel"
"632","הדר+עם+Israel"
"633","הוד+השרון+Israel"
"634","הודיה+Israel"
"635","הודיות+Israel"
"636","הוואשלה+Israel"
"637","הוזייל+Israel"
"638","הושעיה+Israel"
"639","הזורע+Israel"
"640","הזורעים+Israel"
"641","החותרים+Israel"
"642","היוגב+Israel"
"643","הילה+Israel"
"644","הכפר+הירוק+Israel"
"645","המכללה+האקדמית+כנרת+Israel"
"646","המעפיל+Israel"
"647","הסוללים+Israel"
"648","העוגן+Israel"
"649","הר+אדר+Israel"
"650","הראל+Israel"
"651","הר+גילה+Israel"
"652","הר+גריזים+Israel"
"653","הרדוף+Israel"
"654","הר+עמשא+Israel"
"655","הרצליה+Israel"
"656","הרצליה+-+מערב+Israel"
"657","הרצליה+-+מרכז+וגליל+ים+Israel"
"658","הרצליה+-+פיתוח+Israel"
"659","הררית+Israel"
"660","ואדי+אל+נעם+Israel"
"661","ואדי+אל+נעם+דרום+Israel"
"662","ואדי+אל+עראיס+Israel"
"663","ואדיח+Israel"
"664","ואדי+פוכין+Israel"
"665","ורד+הגליל+Israel"
"666","ורדון+Israel"
"667","ורדים+מוסד+חינוכי+Israel"
"668","ורד+יריחו+Israel"
"669","זאוויה+Israel"
"670","זבארגה+Israel"
"671","זבדיאל+Israel"
"672","זובובא+Israel"
"673","זובידאת+Israel"
"674","זוהר+Israel"
"675","זוואתא+Israel"
"676","זיבדה+Israel"
"677","זיף+Israel"
"678","זיקים+Israel"
"679","זיתא+Israel"
"680","זיתא+ליד+באקה+אל+ע’רביה+Israel"
"681","זיתן+Israel"
"682","זכרון+יעקב+Israel"
"683","זכריה+Israel"
"684","זמר+Israel"
"685","זמרת+Israel"
"686","זמרת+ושובה+Israel"
"687","זנוח+Israel"
"688","זעתרה+Israel"
"689","זרועה+Israel"
"690","זרזיר+Israel"
"691","זרחיה+Israel"
"692","זרעית+Israel"
"693","חארס+Israel"
"694","חבלה+Israel"
"695","חבצלת+השרון+Israel"
"696","חבר+Israel"
"697","חברון+Israel"
"698","חג'אג'רה+Israel"
"699","חג’ה+Israel"
"700","חגור+Israel"
"701","חגי+Israel"
"702","חגלה+Israel"
"703","חדיד+Israel"
"704","חד-נס+Israel"
"705","חדרה+Israel"
"706","חדרה+-+מזרח+Israel"
"707","חדרה+-+מערב+Israel"
"708","חדרה+-+מרכז+Israel"
"709","חדרה+-+נווה+חיים+Israel"
"710","ח'ואלד+Israel"
"711","ח’וארה+Israel"
"712","חוג’ייראת+Israel"
"713","חוג’ילה+Israel"
"714","ח'וואלד+Israel"
"715","חוות+גלעד+Israel"
"716","חוות+דושן+Israel"
"717","חוות+יזרעם+Israel"
"718","חוות+עדן+Israel"
"719","חוות+שיקמים+Israel"
"720","חוות+שלם+Israel"
"721","חוות+שפעה+Israel"
"722","חולדה+Israel"
"723","חולון+Israel"
"724","חולית+Israel"
"725","חולתה+Israel"
"726","חוסאן+Israel"
"727","חוסן+Israel"
"728","חוסנייה+Israel"
"729","חופית+Israel"
"730","חוקוק+Israel"
"731","חורה+Israel"
"732","חורפיש+Israel"
"733","חורשים+Israel"
"734","חזון+Israel"
"735","חי-בר+יטבתה+Israel"
"736","חיבת+ציון+Israel"
"737","חיזמא+Israel"
"738","חיננית+Israel"
"739","חיפה+Israel"
"740","ח’ירבתא+Israel"
"741","ח’ירבת+אבו+פלאח+Israel"
"742","ח’ירבת+א+טורם+Israel"
"743","ח’ירבת+א+טייבה+Israel"
"744","ח’ירבת+א+טירה+Israel"
"745","ח’ירבת+אל+אשקר+Israel"
"746","ח’ירבת+אל+מיסבאח+Israel"
"747","ח’ירבת+אל+עכאבה+Israel"
"748","ח’ירבת+א+נבי+אליאס+Israel"
"749","ח’ירבת+זיתא+Israel"
"750","ח’ירבת+כרמה+Israel"
"751","ח’ירבת+מועאוויה+Israel"
"752","ח’ירבת+סיר+Israel"
"753","ח’ירבת+ספא+Israel"
"754","ח’ירבת+עסלה+Israel"
"755","ח’ירבת+קיס+Israel"
"756","ח’ירבת+ראס+א+טירה+Israel"
"757","ח’ירבת+ראס+עטיה+Israel"
"758","חלוץ+Israel"
"759","חלחול+Israel"
"760","חלמיש+Israel"
"761","חלץ+Israel"
"762","ח’לת+אל+פולה+Israel"
"763","חמאם+Israel"
"764","חמד+Israel"
"765","חמדיה+Israel"
"766","חמדת+Israel"
"767","חמדת+ימים+Israel"
"768","חמרה+Israel"
"769","חמת+גדר+Israel"
"770","חניאל+Israel"
"771","חניתה+Israel"
"772","חנתון+Israel"
"773","חסכה+Israel"
"774","חספין+Israel"
"775","חפץ+חיים+Israel"
"776","חפצי-בה+Israel"
"777","חפר+148+Israel"
"778","חצב+Israel"
"779","חצבה+Israel"
"780","חצור+Israel"
"781","חצור-אשדוד+Israel"
"782","חצור+הגלילית+Israel"
"783","חצרים+Israel"
"784","ח’ראס+Israel"
"785","חרב+לאת+Israel"
"786","חרוצים+Israel"
"787","חרות+Israel"
"788","ח’רזאן+Israel"
"789","חריש+Israel"
"790","חרמלה+Israel"
"791","חרמש+Israel"
"792","ח’רסה+Israel"
"793","חרשים+Israel"
"794","ח’שם+אל+כרם+Israel"
"795","חשמונאים+Israel"
"796","טבריה+Israel"
"797","טובא-זנגריה+Israel"
"798","טורה+על+ע’רביה+Israel"
"799","טורעאן+Israel"
"800","טייבה+Israel"
"801","טייבה+ליד+מולדת+Israel"
"802","טייבה+ליד+עפרה+Israel"
"803","טירה+Israel"
"804","טירה+ליד+בית+חורון+Israel"
"805","טירת+יהודה+Israel"
"806","טירת+כרמל+Israel"
"807","טירת+צבי+Israel"
"808","טל-אל+Israel"
"809","טללים+Israel"
"810","טלמון+Israel"
"811","טל+מנשה+Israel"
"812","טל+שחר+Israel"
"813","טמרה+Israel"
"814","טמרה+(יזרעאל)+Israel"
"815","טנא+Israel"
"816","טפחות+Israel"
"817","יאמון+Israel"
"818","יאנוח-ג'ת+Israel"
"819","יאנון+Israel"
"820","יאסוף+Israel"
"821","יבול+Israel"
"822","יבור+Israel"
"823","יבנאל+Israel"
"824","יבנה+Israel"
"825","יברוד+Israel"
"826","יגור+Israel"
"827","יגל+Israel"
"828","יד+בנימין+Israel"
"829","יד+השמונה+Israel"
"830","יד+חנה+Israel"
"831","ידידה+Israel"
"832","יד+מרדכי+Israel"
"833","יד+נתן+Israel"
"834","יד+רמב""ם+Israel"
"835","יהודה+205+Israel"
"836","יהוד-מונוסון+Israel"
"837","יהל+Israel"
"838","יובל+Israel"
"839","יובלים+Israel"
"840","יודפת+Israel"
"841","יונתן+Israel"
"842","יוקנעם+Israel"
"843","יוקנעם+עילית+Israel"
"844","יושיביה+Israel"
"845","יזרעאל+Israel"
"846","יחד+Israel"
"847","יחיעם+Israel"
"848","יטא+יוטה+Israel"
"849","יטבתה+Israel"
"850","ייט""ב+Israel"
"851","יכיני+Israel"
"852","ים+המלח+בתי+מלון+Israel"
"853","ימין+אורד+Israel"
"854","ינוב+Israel"
"855","ינוח-ג'ת+Israel"
